vaccine_uptake,unmitigated_reproduction_rate,strategy,vaccinate_kids,vaccinated_infected_arrivals,week,percentile_50th,percentile_95th,percentile_5th,borders_open
50% Vaccinated,4.5,ME_ME_LS,0,0.02,63,5.0,341.6,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,64,6.0,390.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,65,7.5,802.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,66,9.0,1251.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,67,11.0,2260.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,68,12.5,3657.6,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,69,17.0,3206.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,70,20.0,3136.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,71,23.0,3040.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,72,30.5,4134.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,73,43.0,4668.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,74,44.0,5827.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,75,55.0,5379.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,76,67.5,4764.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,77,82.5,5254.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,78,123.5,5142.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,79,166.0,5136.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,80,187.0,5769.6,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,81,224.0,5398.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,82,294.0,5267.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,83,352.0,5123.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,84,322.0,4368.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,85,482.0,5318.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,86,492.0,6147.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,87,464.0,6681.6,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,88,568.0,5388.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,89,704.0,6144.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,90,760.0,4755.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,91,726.0,4492.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,92,896.0,5046.4,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,93,864.0,4841.6,0.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,94,730.0,4995.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,95,918.0,4547.2,0.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,96,1208.0,4300.8,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,97,1392.0,4950.4,0.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,98,1128.0,5059.2,0.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,99,1304.0,5382.4,0.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,100,1248.0,5126.4,0.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,101,1400.0,4547.2,1.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,102,1576.0,4873.6,1.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,103,1472.0,5337.6,1.95,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,104,1664.0,5388.8,2.9,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,105,256.0,899.2,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,0,0.0,0.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,1,0.0,0.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,2,0.0,1.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,3,0.0,3.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,4,0.0,6.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,5,0.0,10.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,6,0.0,17.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,7,0.0,27.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,8,0.0,24.3,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,9,0.0,26.4,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,10,0.0,31.6,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,11,0.0,33.15,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,12,0.0,37.35,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,13,0.0,40.1,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,14,0.0,37.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,15,0.0,27.85,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,16,0.0,25.7,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,17,0.0,30.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,18,0.0,27.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,19,0.0,33.25,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,20,0.0,29.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,21,0.0,37.1,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,22,0.0,23.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,23,0.0,25.65,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,24,0.0,33.2,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,25,0.0,26.3,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,26,0.0,25.1,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,27,0.0,22.2,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,28,0.0,16.15,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,29,0.0,17.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,30,0.0,13.3,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,31,0.0,13.1,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,32,0.0,11.1,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,33,0.0,9.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,34,0.0,9.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,35,0.0,10.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,36,0.0,10.1,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,37,0.0,8.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,38,0.0,9.15,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,39,0.0,9.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,40,0.0,8.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,41,0.0,10.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,42,0.0,9.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,43,0.0,6.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,44,0.0,5.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,45,0.0,5.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,46,0.0,4.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,47,0.0,6.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,48,0.0,5.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,49,0.0,4.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,50,0.0,5.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,51,0.0,8.0,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,52,0.0,9.05,0.0,0
70% Vaccinated,4.5,ME_ME_LS,0,0.02,53,0.0,8.15,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,54,0.0,8.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,55,0.0,9.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,56,0.0,9.3,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,57,1.0,11.1,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,58,1.0,11.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,59,1.0,13.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,60,1.0,18.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,61,2.0,17.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,62,2.0,20.25,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,63,2.0,20.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,64,2.0,22.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,65,2.0,23.5,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,66,2.0,30.15,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,67,2.0,35.05,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,68,3.5,39.45,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,69,3.0,51.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,70,3.0,57.1,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,71,3.5,66.2,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,72,3.5,63.8,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,73,4.0,73.15,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,74,3.0,79.25,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,75,3.5,69.25,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,76,4.0,71.1,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,77,3.5,68.4,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,78,3.0,72.45,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,79,4.0,89.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,80,3.0,79.85,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,81,2.0,80.1,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,82,3.0,91.65,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,83,2.5,105.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,84,3.0,162.95,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,85,2.0,209.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,86,3.0,221.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,87,3.5,272.2,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,88,3.0,254.2,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,89,4.0,332.4,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,90,4.0,354.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,91,3.5,329.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,92,3.0,440.8,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,93,3.0,636.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,94,2.5,657.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,95,3.0,883.2,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,96,3.0,1008.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,97,3.0,909.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,98,5.0,1146.4,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,99,4.5,925.6,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,100,4.0,1176.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,101,4.5,1163.2,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,102,4.0,1352.0,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,103,6.0,1292.8,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,104,5.0,1216.8,0.0,1
70% Vaccinated,4.5,ME_ME_LS,0,0.02,105,1.0,192.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,0,0.0,0.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,1,0.0,0.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,2,0.0,1.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,3,0.0,4.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,4,0.0,6.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,5,0.0,10.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,6,0.0,16.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,7,0.0,13.15,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,8,0.0,20.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,9,0.0,22.15,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,10,0.0,25.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,11,0.0,24.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,12,0.0,23.2,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,13,0.0,27.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,14,0.0,25.7,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,15,0.0,30.1,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,16,0.0,23.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,17,0.0,23.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,18,0.0,23.15,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,19,0.0,27.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,20,0.0,21.15,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,21,0.0,17.2,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,22,0.0,20.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,23,0.0,15.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,24,0.0,13.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,25,0.0,8.1,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,26,0.0,5.1,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,27,0.0,5.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,28,0.0,4.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,29,0.0,3.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,30,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,31,0.0,2.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,32,0.0,2.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,33,0.0,2.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,34,0.0,2.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,35,0.0,2.15,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,36,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,37,0.0,4.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,38,0.0,3.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,39,0.0,4.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,40,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,41,0.0,3.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,42,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,43,0.0,1.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,44,0.0,2.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,45,0.0,2.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,46,0.0,2.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,47,0.0,2.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,48,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,49,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,50,0.0,3.05,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,51,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,52,0.0,3.0,0.0,0
90% Vaccinated,4.5,ME_ME_LS,0,0.02,53,0.0,3.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,54,0.0,3.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,55,0.0,2.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,56,0.0,3.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,57,0.0,5.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,58,0.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,59,0.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,60,1.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,61,1.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,62,0.0,4.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,63,0.0,5.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,64,0.0,5.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,65,1.0,7.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,66,1.0,5.1,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,67,0.0,7.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,68,1.0,7.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,69,1.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,70,1.0,8.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,71,0.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,72,0.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,73,0.0,4.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,74,0.0,5.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,75,1.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,76,1.0,5.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,77,1.0,5.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,78,0.0,7.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,79,1.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,80,0.5,5.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,81,0.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,82,0.5,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,83,0.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,84,0.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,85,0.0,5.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,86,1.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,87,0.0,6.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,88,0.5,9.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,89,0.5,7.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,90,1.0,8.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,91,1.0,9.1,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,92,0.0,8.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,93,0.0,10.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,94,0.0,10.1,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,95,0.0,7.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,96,0.0,7.1,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,97,0.5,9.0,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,98,0.0,7.1,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,99,1.0,6.05,0.0,1
90% Vaccinated,4.5,ME_ME_LS,0,0.02,100,1.0,7.05,0.0,1
