vu,R0,str,vk,va,tp,ms,wk,q50,q95,q5,bo
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,17,0.57,4.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,18,0.5,3.57,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,19,0.57,3.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,20,0.57,2.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,21,0.43,2.87,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,22,0.71,3.17,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,23,0.86,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,24,0.57,2.72,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,25,0.57,3.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,26,0.57,2.88,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,27,0.57,3.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,28,0.57,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,29,0.43,2.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,30,0.57,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,31,0.86,3.0,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,32,1.71,4.72,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,33,2.43,8.02,0.29,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,34,2.86,8.71,0.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,35,4.29,12.29,0.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,36,4.64,14.29,0.86,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,37,5.57,22.74,1.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,38,5.57,25.78,1.28,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,39,7.07,30.92,1.56,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,40,6.43,32.21,1.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,41,8.14,32.27,1.85,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,42,7.86,37.35,1.57,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,43,7.5,45.0,1.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,44,7.57,45.19,1.99,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,45,9.57,47.76,1.56,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,46,8.57,46.61,1.28,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,47,8.57,60.56,1.85,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,48,8.36,65.7,1.99,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,49,7.29,40.99,2.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,50,8.86,47.89,1.86,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,51,9.86,51.88,2.28,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,52,10.29,45.39,2.56,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,53,9.07,41.34,2.0,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,54,9.86,38.76,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,55,9.86,39.99,1.99,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,56,9.43,38.7,2.28,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,57,8.64,41.14,2.28,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,58,8.36,46.74,1.84,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,59,9.0,50.27,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,60,9.21,37.54,1.57,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,61,9.0,42.56,1.86,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,62,7.93,42.77,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,63,9.93,62.04,1.82,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,64,9.0,50.66,1.57,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,65,8.36,50.46,2.27,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,66,7.71,38.76,2.13,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,67,7.71,42.62,2.43,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,68,7.71,37.74,2.28,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,69,7.93,41.14,1.99,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,70,8.57,56.64,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,71,9.43,48.92,2.27,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,72,8.79,50.53,1.43,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,73,8.64,42.62,1.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,74,7.64,43.78,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,75,8.07,33.49,2.42,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,76,7.71,33.9,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,77,8.0,33.56,1.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,78,7.71,38.7,1.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,79,8.71,46.41,2.26,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,80,8.36,43.78,2.14,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,81,8.14,46.48,1.99,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,0,0.0,0.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,1,0.0,0.29,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,2,0.0,1.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,3,0.0,1.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,4,0.0,1.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,5,0.0,1.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,6,0.14,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,7,0.14,2.73,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,8,0.29,2.46,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,9,0.21,2.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,10,0.29,2.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,11,0.29,2.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,12,0.29,2.89,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,13,0.36,2.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,14,0.29,2.03,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,15,0.29,1.6,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,16,0.43,2.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,17,0.29,1.87,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,18,0.29,2.15,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,19,0.29,2.02,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,20,0.29,1.72,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,21,0.14,1.87,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,22,0.14,2.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,23,0.29,2.59,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,24,0.21,2.68,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,25,0.29,3.74,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,26,0.29,2.9,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,27,0.29,3.74,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,28,0.29,3.02,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,29,0.29,2.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,30,0.29,2.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,31,0.57,2.29,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,32,0.86,2.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,33,1.0,3.43,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,34,1.29,3.44,0.29,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,35,1.43,4.44,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,36,1.57,5.58,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,37,1.86,5.21,0.42,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,38,2.0,6.01,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,39,2.07,6.72,0.29,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,40,1.86,7.01,0.42,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,41,2.0,7.01,0.43,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,42,2.14,8.19,0.56,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,43,2.0,8.29,0.57,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,44,2.29,8.73,0.43,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,45,2.14,9.06,0.43,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,46,2.14,12.04,0.57,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,47,2.14,11.03,0.56,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,48,2.36,9.87,0.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,49,2.14,6.9,0.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,50,2.0,6.9,0.57,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,51,2.21,7.01,0.56,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,52,2.21,7.01,0.43,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,53,2.0,9.04,0.57,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,54,2.14,7.74,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,55,2.14,6.86,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,56,2.21,9.94,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,57,2.36,9.34,0.86,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,58,2.21,9.45,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,59,2.29,9.06,0.57,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,60,2.43,8.19,0.86,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,61,2.57,8.59,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,62,2.57,8.68,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,63,2.43,9.06,0.43,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,64,2.43,9.02,0.43,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,65,2.14,9.06,0.85,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,66,2.43,8.24,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,67,2.64,8.19,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,68,2.43,8.81,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,69,2.14,8.93,0.57,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,70,2.14,11.21,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,71,2.43,12.43,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,72,2.43,11.97,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,73,2.43,11.19,0.29,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,74,2.57,12.24,0.43,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,75,2.29,12.47,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,76,2.36,10.37,0.57,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,77,2.43,10.74,0.56,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,78,2.43,10.29,0.43,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,79,2.57,7.8,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,80,2.29,7.33,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,2,81,2.57,8.19,0.71,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,0,0.0,0.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,1,0.0,1.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,2,0.0,2.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,3,0.0,3.29,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,4,0.0,3.72,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,5,0.29,4.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,6,0.29,4.74,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,7,0.5,3.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,8,0.57,4.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,9,0.64,5.19,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,10,0.71,4.33,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,11,0.71,4.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,12,0.57,3.45,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,13,0.57,3.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,14,0.43,3.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,15,0.43,2.88,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,16,0.43,3.06,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,17,0.57,4.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,18,0.5,3.57,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,19,0.57,3.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,20,0.57,2.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,21,0.43,2.87,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,22,0.71,3.17,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,23,0.86,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,24,0.57,2.72,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,25,0.57,3.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,26,0.57,2.88,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,27,0.57,3.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,28,0.57,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,29,0.43,2.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,30,0.86,3.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,31,2.57,6.88,1.14,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,32,5.21,10.0,2.71,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,33,7.29,14.75,3.84,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,34,8.14,25.29,3.54,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,35,11.36,30.88,4.7,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,36,16.5,39.45,5.37,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,37,17.57,55.29,6.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,38,19.93,51.56,7.67,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,39,21.86,67.18,6.86,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,40,22.5,63.13,7.29,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,41,23.14,65.76,6.84,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,42,21.86,59.46,9.41,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,43,20.57,69.49,7.67,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,44,22.29,60.62,7.71,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,45,20.57,59.27,5.57,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,46,18.0,59.66,5.57,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,47,18.0,50.21,5.12,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,48,16.29,50.34,5.14,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,49,15.43,53.1,5.41,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,50,16.71,42.62,5.97,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,51,14.57,50.27,4.69,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,52,15.43,46.35,4.29,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,53,16.71,46.35,3.39,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,54,16.71,47.64,3.43,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,55,15.43,56.64,4.71,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,56,18.0,64.99,4.71,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,57,18.21,54.06,3.84,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,58,18.0,55.41,3.83,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,59,19.71,56.76,3.56,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,60,16.07,53.16,4.13,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,61,14.14,39.09,4.81,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,62,12.86,36.88,4.26,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,63,14.14,42.56,3.39,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,64,13.93,43.78,3.99,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,65,13.5,48.92,3.41,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,66,15.43,57.99,3.99,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,67,15.43,54.0,4.68,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,68,15.43,48.92,5.12,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,69,14.36,43.78,5.12,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,70,16.5,50.21,5.41,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,71,16.71,54.96,6.41,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,72,18.86,51.49,5.12,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,73,16.71,57.92,3.84,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,74,18.64,49.05,5.14,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,75,20.57,61.78,5.96,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,76,20.14,61.78,5.55,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,77,19.29,61.91,5.55,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,78,20.36,59.27,5.69,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,79,16.71,54.19,5.41,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,80,14.14,41.21,5.55,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,1a,81,16.71,38.64,5.1,1
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,0,0.0,0.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,1,0.0,0.29,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,2,0.0,1.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,3,0.0,1.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,4,0.0,1.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,5,0.0,1.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,6,0.14,2.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,1.0,ass100_90at5,2,7,0.14,2.73,0.0,0
