"strategy","phase_1_vaccine_transmission_reduction","phase_2_3_vaccine_transmission_reduction","vaccine_uptake","relax_strategies","unmitigated_reproduction_rate","effect","change_in_HALYs","type"
"Aggressive Elimination",50,50,75,1,3.125,"Anxiety",-63.12,"Morbidity"
"Aggressive Elimination",50,50,75,1,3.75,"Anxiety",-167.06,"Morbidity"
"Aggressive Elimination",50,75,75,0,2.5,"Anxiety",-103.93,"Morbidity"
"Aggressive Elimination",50,75,75,0,3.125,"Anxiety",-168,"Morbidity"
"Aggressive Elimination",50,75,75,0,3.75,"Anxiety",-256,"Morbidity"
"Aggressive Elimination",50,75,75,1,2.5,"Anxiety",-29.72,"Morbidity"
"Aggressive Elimination",50,75,75,1,3.125,"Anxiety",-59.28,"Morbidity"
"Aggressive Elimination",50,75,75,1,3.75,"Anxiety",-139.83,"Morbidity"
"Aggressive Elimination",50,90,75,0,2.5,"Anxiety",-93.15,"Morbidity"
"Aggressive Elimination",50,90,75,0,3.125,"Anxiety",-148.77,"Morbidity"
"Aggressive Elimination",50,90,75,0,3.75,"Anxiety",-241.5,"Morbidity"
"Aggressive Elimination",50,90,75,1,2.5,"Anxiety",-29.48,"Morbidity"
"Aggressive Elimination",50,90,75,1,3.125,"Anxiety",-60.56,"Morbidity"
"Aggressive Elimination",50,90,75,1,3.75,"Anxiety",-131.06,"Morbidity"
"Aggressive Elimination",75,50,75,0,2.5,"Anxiety",-110.59,"Morbidity"
"Aggressive Elimination",75,50,75,0,3.125,"Anxiety",-160.6,"Morbidity"
"Aggressive Elimination",75,50,75,0,3.75,"Anxiety",-241.62,"Morbidity"
"Aggressive Elimination",75,50,75,1,2.5,"Anxiety",-28.77,"Morbidity"
"Aggressive Elimination",75,50,75,1,3.125,"Anxiety",-53.02,"Morbidity"
"Aggressive Elimination",75,50,75,1,3.75,"Anxiety",-127.34,"Morbidity"
"Aggressive Elimination",75,75,75,0,2.5,"Anxiety",-95.21,"Morbidity"
"Aggressive Elimination",75,75,75,0,3.125,"Anxiety",-143.88,"Morbidity"
"Aggressive Elimination",75,75,75,0,3.75,"Anxiety",-226.27,"Morbidity"
"Aggressive Elimination",75,75,75,1,2.5,"Anxiety",-28.55,"Morbidity"
"Aggressive Elimination",75,75,75,1,3.125,"Anxiety",-52.15,"Morbidity"
"Aggressive Elimination",75,75,75,1,3.75,"Anxiety",-112.18,"Morbidity"
"Aggressive Elimination",75,90,75,0,2.5,"Anxiety",-85.67,"Morbidity"
"Aggressive Elimination",75,90,75,0,3.125,"Anxiety",-129.83,"Morbidity"
"Aggressive Elimination",75,90,75,0,3.75,"Anxiety",-209.26,"Morbidity"
"Aggressive Elimination",75,90,75,1,2.5,"Anxiety",-28.84,"Morbidity"
"Aggressive Elimination",75,90,75,1,3.125,"Anxiety",-51.87,"Morbidity"
"Aggressive Elimination",75,90,75,1,3.75,"Anxiety",-105.09,"Morbidity"
"Aggressive Elimination",90,50,75,0,2.5,"Anxiety",-98.67,"Morbidity"
"Aggressive Elimination",90,50,75,0,3.125,"Anxiety",-144.17,"Morbidity"
"Aggressive Elimination",90,50,75,0,3.75,"Anxiety",-228.84,"Morbidity"
"Aggressive Elimination",90,50,75,1,2.5,"Anxiety",-28.26,"Morbidity"
"Aggressive Elimination",90,50,75,1,3.125,"Anxiety",-49.1,"Morbidity"
"Aggressive Elimination",90,50,75,1,3.75,"Anxiety",-108.4,"Morbidity"
"Aggressive Elimination",90,75,75,0,2.5,"Anxiety",-86.18,"Morbidity"
"Aggressive Elimination",90,75,75,0,3.125,"Anxiety",-129.19,"Morbidity"
"Aggressive Elimination",90,75,75,0,3.75,"Anxiety",-212.41,"Morbidity"
"Aggressive Elimination",90,75,75,1,2.5,"Anxiety",-28.26,"Morbidity"
"Aggressive Elimination",90,75,75,1,3.125,"Anxiety",-48.18,"Morbidity"
"Aggressive Elimination",90,75,75,1,3.75,"Anxiety",-102.34,"Morbidity"
"Aggressive Elimination",90,90,75,0,2.5,"Anxiety",-75.59,"Morbidity"
"Aggressive Elimination",90,90,75,0,3.125,"Anxiety",-114.97,"Morbidity"
"Aggressive Elimination",90,90,75,0,3.75,"Anxiety",-191.85,"Morbidity"
"Aggressive Elimination",90,90,75,1,2.5,"Anxiety",-28.46,"Morbidity"
"Aggressive Elimination",90,90,75,1,3.125,"Anxiety",-48.56,"Morbidity"
"Aggressive Elimination",90,90,75,1,3.75,"Anxiety",-99.58,"Morbidity"
"Aggressive Elimination",50,50,90,0,2.5,"Anxiety",-109.64,"Morbidity"
"Aggressive Elimination",50,50,90,0,3.125,"Anxiety",-161.52,"Morbidity"
"Aggressive Elimination",50,50,90,0,3.75,"Anxiety",-267.71,"Morbidity"
"Aggressive Elimination",50,50,90,1,2.5,"Anxiety",-29.27,"Morbidity"
"Aggressive Elimination",50,50,90,1,3.125,"Anxiety",-57.12,"Morbidity"
"Aggressive Elimination",50,50,90,1,3.75,"Anxiety",-145.51,"Morbidity"
"Aggressive Elimination",50,75,90,0,2.5,"Anxiety",-97.49,"Morbidity"
"Aggressive Elimination",50,75,90,0,3.125,"Anxiety",-144.58,"Morbidity"
"Aggressive Elimination",50,75,90,0,3.75,"Anxiety",-244.31,"Morbidity"
"Aggressive Elimination",50,75,90,1,2.5,"Anxiety",-29.46,"Morbidity"
"Aggressive Elimination",50,75,90,1,3.125,"Anxiety",-57.12,"Morbidity"
"Aggressive Elimination",50,75,90,1,3.75,"Anxiety",-127.2,"Morbidity"
"Aggressive Elimination",50,90,90,0,2.5,"Anxiety",-83.27,"Morbidity"
"Aggressive Elimination",50,90,90,0,3.125,"Anxiety",-130.53,"Morbidity"
"Aggressive Elimination",50,90,90,0,3.75,"Anxiety",-225.49,"Morbidity"
"Aggressive Elimination",50,90,90,1,2.5,"Anxiety",-29.65,"Morbidity"
"Aggressive Elimination",50,90,90,1,3.125,"Anxiety",-54.09,"Morbidity"
"Aggressive Elimination",50,90,90,1,3.75,"Anxiety",-120.96,"Morbidity"
"Aggressive Elimination",75,50,90,0,2.5,"Anxiety",-96.43,"Morbidity"
"Aggressive Elimination",75,50,90,0,3.125,"Anxiety",-152.17,"Morbidity"
"Aggressive Elimination",75,50,90,0,3.75,"Anxiety",-232.85,"Morbidity"
"Aggressive Elimination",75,50,90,1,2.5,"Anxiety",-28.48,"Morbidity"
"Aggressive Elimination",75,50,90,1,3.125,"Anxiety",-49.82,"Morbidity"
"Aggressive Elimination",75,50,90,1,3.75,"Anxiety",-115.69,"Morbidity"
"Aggressive Elimination",75,75,90,0,2.5,"Anxiety",-84.91,"Morbidity"
"Aggressive Elimination",75,75,90,0,3.125,"Anxiety",-132.97,"Morbidity"
"Aggressive Elimination",75,75,90,0,3.75,"Anxiety",-211.56,"Morbidity"
"Aggressive Elimination",75,75,90,1,2.5,"Anxiety",-28.48,"Morbidity"
"Aggressive Elimination",75,75,90,1,3.125,"Anxiety",-48.98,"Morbidity"
"Aggressive Elimination",75,75,90,1,3.75,"Anxiety",-107.07,"Morbidity"
"Aggressive Elimination",75,90,90,0,2.5,"Anxiety",-68.01,"Morbidity"
"Aggressive Elimination",75,90,90,0,3.125,"Anxiety",-113.24,"Morbidity"
"Aggressive Elimination",75,90,90,0,3.75,"Anxiety",-190.81,"Morbidity"
"Aggressive Elimination",75,90,90,1,2.5,"Anxiety",-28.68,"Morbidity"
"Aggressive Elimination",75,90,90,1,3.125,"Anxiety",-48.82,"Morbidity"
"Aggressive Elimination",75,90,90,1,3.75,"Anxiety",-104.6,"Morbidity"
"Aggressive Elimination",90,50,90,0,2.5,"Anxiety",-89.85,"Morbidity"
"Aggressive Elimination",90,50,90,0,3.125,"Anxiety",-130.41,"Morbidity"
"Aggressive Elimination",90,50,90,0,3.75,"Anxiety",-207.19,"Morbidity"
"Aggressive Elimination",90,50,90,1,2.5,"Anxiety",-27.71,"Morbidity"
"Aggressive Elimination",90,50,90,1,3.125,"Anxiety",-45.88,"Morbidity"
"Aggressive Elimination",90,50,90,1,3.75,"Anxiety",-94.16,"Morbidity"
"Aggressive Elimination",90,75,90,0,2.5,"Anxiety",-76.25,"Morbidity"
"Aggressive Elimination",90,75,90,0,3.125,"Anxiety",-114.29,"Morbidity"
"Aggressive Elimination",90,75,90,0,3.75,"Anxiety",-187.73,"Morbidity"
"Aggressive Elimination",90,75,90,1,2.5,"Anxiety",-27.71,"Morbidity"
"Aggressive Elimination",90,75,90,1,3.125,"Anxiety",-46.33,"Morbidity"
"Aggressive Elimination",90,75,90,1,3.75,"Anxiety",-91.35,"Morbidity"
"Aggressive Elimination",90,90,90,0,2.5,"Anxiety",-62.81,"Morbidity"
"Aggressive Elimination",90,90,90,0,3.125,"Anxiety",-94.81,"Morbidity"
"Aggressive Elimination",90,90,90,0,3.75,"Anxiety",-165.52,"Morbidity"
"Aggressive Elimination",90,90,90,1,2.5,"Anxiety",-27.71,"Morbidity"
"Aggressive Elimination",90,90,90,1,3.125,"Anxiety",-45.65,"Morbidity"
"Aggressive Elimination",90,90,90,1,3.75,"Anxiety",-89.43,"Morbidity"
"Moderate Elimination",50,50,60,0,2.5,"Anxiety",-10.54,"Morbidity"
"Moderate Elimination",50,50,60,0,3.125,"Anxiety",-62.51,"Morbidity"
"Moderate Elimination",50,50,60,0,3.75,"Anxiety",-200.12,"Morbidity"
"Moderate Elimination",50,50,60,1,2.5,"Anxiety",-0.79,"Morbidity"
"Moderate Elimination",50,50,60,1,3.125,"Anxiety",-9.21,"Morbidity"
"Moderate Elimination",50,50,60,1,3.75,"Anxiety",-122.6,"Morbidity"
"Moderate Elimination",50,75,60,0,2.5,"Anxiety",-4.49,"Morbidity"
"Moderate Elimination",50,75,60,0,3.125,"Anxiety",-39.13,"Morbidity"
"Moderate Elimination",50,75,60,0,3.75,"Anxiety",-167.04,"Morbidity"
"Moderate Elimination",50,75,60,1,2.5,"Anxiety",-0.79,"Morbidity"
"Moderate Elimination",50,75,60,1,3.125,"Anxiety",-9.27,"Morbidity"
"Moderate Elimination",50,75,60,1,3.75,"Anxiety",-83.64,"Morbidity"
"Moderate Elimination",50,90,60,0,2.5,"Anxiety",-1.8,"Morbidity"
"Moderate Elimination",50,90,60,0,3.125,"Anxiety",-30.19,"Morbidity"
"Moderate Elimination",50,90,60,0,3.75,"Anxiety",-138.14,"Morbidity"
"Moderate Elimination",50,90,60,1,2.5,"Anxiety",-0.79,"Morbidity"
"Moderate Elimination",50,90,60,1,3.125,"Anxiety",-8.71,"Morbidity"
"Moderate Elimination",50,90,60,1,3.75,"Anxiety",-74.17,"Morbidity"
"Moderate Elimination",75,50,60,0,2.5,"Anxiety",-7.05,"Morbidity"
"Moderate Elimination",75,50,60,0,3.125,"Anxiety",-44.42,"Morbidity"
"Moderate Elimination",75,50,60,0,3.75,"Anxiety",-167.9,"Morbidity"
"Moderate Elimination",75,50,60,1,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",75,50,60,1,3.125,"Anxiety",-7.5,"Morbidity"
"Moderate Elimination",75,50,60,1,3.75,"Anxiety",-77.18,"Morbidity"
"Moderate Elimination",75,75,60,0,2.5,"Anxiety",-1.54,"Morbidity"
"Moderate Elimination",75,75,60,0,3.125,"Anxiety",-25.14,"Morbidity"
"Moderate Elimination",75,75,60,0,3.75,"Anxiety",-130.24,"Morbidity"
"Moderate Elimination",75,75,60,1,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",75,75,60,1,3.125,"Anxiety",-7.3,"Morbidity"
"Moderate Elimination",75,75,60,1,3.75,"Anxiety",-59.64,"Morbidity"
"Moderate Elimination",75,90,60,0,2.5,"Anxiety",-1.4,"Morbidity"
"Moderate Elimination",75,90,60,0,3.125,"Anxiety",-19.6,"Morbidity"
"Moderate Elimination",75,90,60,0,3.75,"Anxiety",-105.61,"Morbidity"
"Moderate Elimination",75,90,60,1,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",75,90,60,1,3.125,"Anxiety",-7.3,"Morbidity"
"Moderate Elimination",75,90,60,1,3.75,"Anxiety",-53.35,"Morbidity"
"Moderate Elimination",90,50,60,0,2.5,"Anxiety",-5.25,"Morbidity"
"Moderate Elimination",90,50,60,0,3.125,"Anxiety",-29.6,"Morbidity"
"Moderate Elimination",90,50,60,0,3.75,"Anxiety",-134.21,"Morbidity"
"Moderate Elimination",90,50,60,1,2.5,"Anxiety",-0.39,"Morbidity"
"Moderate Elimination",90,50,60,1,3.125,"Anxiety",-5.46,"Morbidity"
"Moderate Elimination",90,50,60,1,3.75,"Anxiety",-51.67,"Morbidity"
"Moderate Elimination",90,75,60,0,2.5,"Anxiety",-1.84,"Morbidity"
"Moderate Elimination",90,75,60,0,3.125,"Anxiety",-17.76,"Morbidity"
"Moderate Elimination",90,75,60,0,3.75,"Anxiety",-105.37,"Morbidity"
"Moderate Elimination",90,75,60,1,2.5,"Anxiety",-0.39,"Morbidity"
"Moderate Elimination",90,75,60,1,3.125,"Anxiety",-5.65,"Morbidity"
"Moderate Elimination",90,75,60,1,3.75,"Anxiety",-46.16,"Morbidity"
"Moderate Elimination",90,90,60,0,2.5,"Anxiety",-0.78,"Morbidity"
"Moderate Elimination",90,90,60,0,3.125,"Anxiety",-12.08,"Morbidity"
"Moderate Elimination",90,90,60,0,3.75,"Anxiety",-86.48,"Morbidity"
"Moderate Elimination",90,90,60,1,2.5,"Anxiety",-0.39,"Morbidity"
"Moderate Elimination",90,90,60,1,3.125,"Anxiety",-5.46,"Morbidity"
"Moderate Elimination",90,90,60,1,3.75,"Anxiety",-41.7,"Morbidity"
"Moderate Elimination",50,50,75,0,2.5,"Anxiety",-7.18,"Morbidity"
"Moderate Elimination",50,50,75,0,3.125,"Anxiety",-48.55,"Morbidity"
"Moderate Elimination",50,50,75,0,3.75,"Anxiety",-178.87,"Morbidity"
"Moderate Elimination",50,50,75,1,2.5,"Anxiety",-0.99,"Morbidity"
"Moderate Elimination",50,50,75,1,3.125,"Anxiety",-7.61,"Morbidity"
"Moderate Elimination",50,50,75,1,3.75,"Anxiety",-90.97,"Morbidity"
"Moderate Elimination",50,75,75,0,2.5,"Anxiety",-3.44,"Morbidity"
"Moderate Elimination",50,75,75,0,3.125,"Anxiety",-27.35,"Morbidity"
"Moderate Elimination",50,75,75,0,3.75,"Anxiety",-138.02,"Morbidity"
"Moderate Elimination",50,75,75,1,2.5,"Anxiety",-0.79,"Morbidity"
"Moderate Elimination",50,75,75,1,3.125,"Anxiety",-7.12,"Morbidity"
"Moderate Elimination",50,75,75,1,3.75,"Anxiety",-65.96,"Morbidity"
"Moderate Elimination",50,90,75,0,2.5,"Anxiety",-1.19,"Morbidity"
"Moderate Elimination",50,90,75,0,3.125,"Anxiety",-19.23,"Morbidity"
"Moderate Elimination",50,90,75,0,3.75,"Anxiety",-108.48,"Morbidity"
"Moderate Elimination",50,90,75,1,2.5,"Anxiety",-0.79,"Morbidity"
"Moderate Elimination",50,90,75,1,3.125,"Anxiety",-6.92,"Morbidity"
"Moderate Elimination",50,90,75,1,3.75,"Anxiety",-61.27,"Morbidity"
"Moderate Elimination",75,50,75,0,2.5,"Anxiety",-3.91,"Morbidity"
"Moderate Elimination",75,50,75,0,3.125,"Anxiety",-30.95,"Morbidity"
"Moderate Elimination",75,50,75,0,3.75,"Anxiety",-136.79,"Morbidity"
"Moderate Elimination",75,50,75,1,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",75,50,75,1,3.125,"Anxiety",-6.55,"Morbidity"
"Moderate Elimination",75,50,75,1,3.75,"Anxiety",-56.16,"Morbidity"
"Moderate Elimination",75,75,75,0,2.5,"Anxiety",-1.21,"Morbidity"
"Moderate Elimination",75,75,75,0,3.125,"Anxiety",-18.8,"Morbidity"
"Moderate Elimination",75,75,75,0,3.75,"Anxiety",-94.26,"Morbidity"
"Moderate Elimination",75,75,75,1,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",75,75,75,1,3.125,"Anxiety",-6.75,"Morbidity"
"Moderate Elimination",75,75,75,1,3.75,"Anxiety",-45.79,"Morbidity"
"Moderate Elimination",75,90,75,0,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",75,90,75,0,3.125,"Anxiety",-14.95,"Morbidity"
"Moderate Elimination",75,90,75,0,3.75,"Anxiety",-77.1,"Morbidity"
"Moderate Elimination",75,90,75,1,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",75,90,75,1,3.125,"Anxiety",-6.55,"Morbidity"
"Moderate Elimination",75,90,75,1,3.75,"Anxiety",-43.79,"Morbidity"
"Moderate Elimination",90,50,75,0,2.5,"Anxiety",-2.51,"Morbidity"
"Moderate Elimination",90,50,75,0,3.125,"Anxiety",-15.32,"Morbidity"
"Moderate Elimination",90,50,75,0,3.75,"Anxiety",-98.6,"Morbidity"
"Moderate Elimination",90,50,75,1,2.5,"Anxiety",-0.59,"Morbidity"
"Moderate Elimination",90,50,75,1,3.125,"Anxiety",-5.14,"Morbidity"
"Moderate Elimination",90,50,75,1,3.75,"Anxiety",-36.54,"Morbidity"
"Moderate Elimination",90,75,75,0,2.5,"Anxiety",-1.19,"Morbidity"
"Moderate Elimination",90,75,75,0,3.125,"Anxiety",-9.33,"Morbidity"
"Moderate Elimination",90,75,75,0,3.75,"Anxiety",-66.82,"Morbidity"
"Moderate Elimination",90,75,75,1,2.5,"Anxiety",-0.59,"Morbidity"
"Moderate Elimination",90,75,75,1,3.125,"Anxiety",-5.14,"Morbidity"
"Moderate Elimination",90,75,75,1,3.75,"Anxiety",-34.32,"Morbidity"
"Moderate Elimination",90,90,75,0,2.5,"Anxiety",-0.59,"Morbidity"
"Moderate Elimination",90,90,75,0,3.125,"Anxiety",-7.1,"Morbidity"
"Moderate Elimination",90,90,75,0,3.75,"Anxiety",-54.43,"Morbidity"
"Moderate Elimination",90,90,75,1,2.5,"Anxiety",-0.59,"Morbidity"
"Moderate Elimination",90,90,75,1,3.125,"Anxiety",-5.14,"Morbidity"
"Moderate Elimination",90,90,75,1,3.75,"Anxiety",-32.59,"Morbidity"
"Moderate Elimination",50,50,90,0,2.5,"Anxiety",-4.91,"Morbidity"
"Moderate Elimination",50,50,90,0,3.125,"Anxiety",-36.56,"Morbidity"
"Moderate Elimination",50,50,90,0,3.75,"Anxiety",-148.02,"Morbidity"
"Moderate Elimination",50,50,90,1,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",50,50,90,1,3.125,"Anxiety",-8.59,"Morbidity"
"Moderate Elimination",50,50,90,1,3.75,"Anxiety",-71.49,"Morbidity"
"Moderate Elimination",50,75,90,0,2.5,"Anxiety",-0.6,"Morbidity"
"Moderate Elimination",50,75,90,0,3.125,"Anxiety",-22.77,"Morbidity"
"Moderate Elimination",50,75,90,0,3.75,"Anxiety",-114.9,"Morbidity"
"Moderate Elimination",50,75,90,1,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",50,75,90,1,3.125,"Anxiety",-8.4,"Morbidity"
"Moderate Elimination",50,75,90,1,3.75,"Anxiety",-54.89,"Morbidity"
"Moderate Elimination",50,90,90,0,2.5,"Anxiety",-0.6,"Morbidity"
"Moderate Elimination",50,90,90,0,3.125,"Anxiety",-17.99,"Morbidity"
"Moderate Elimination",50,90,90,0,3.75,"Anxiety",-89.79,"Morbidity"
"Moderate Elimination",50,90,90,1,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",50,90,90,1,3.125,"Anxiety",-8.6,"Morbidity"
"Moderate Elimination",50,90,90,1,3.75,"Anxiety",-49.48,"Morbidity"
"Moderate Elimination",75,50,90,0,2.5,"Anxiety",-2.09,"Morbidity"
"Moderate Elimination",75,50,90,0,3.125,"Anxiety",-19.49,"Morbidity"
"Moderate Elimination",75,50,90,0,3.75,"Anxiety",-103.03,"Morbidity"
"Moderate Elimination",75,50,90,1,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",75,50,90,1,3.125,"Anxiety",-5.45,"Morbidity"
"Moderate Elimination",75,50,90,1,3.75,"Anxiety",-39.67,"Morbidity"
"Moderate Elimination",75,75,90,0,2.5,"Anxiety",-0.8,"Morbidity"
"Moderate Elimination",75,75,90,0,3.125,"Anxiety",-10.66,"Morbidity"
"Moderate Elimination",75,75,90,0,3.75,"Anxiety",-73.52,"Morbidity"
"Moderate Elimination",75,75,90,1,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",75,75,90,1,3.125,"Anxiety",-5.45,"Morbidity"
"Moderate Elimination",75,75,90,1,3.75,"Anxiety",-35.89,"Morbidity"
"Moderate Elimination",75,90,90,0,2.5,"Anxiety",-0.4,"Morbidity"
"Moderate Elimination",75,90,90,0,3.125,"Anxiety",-9.41,"Morbidity"
"Moderate Elimination",75,90,90,0,3.75,"Anxiety",-63.38,"Morbidity"
"Moderate Elimination",75,90,90,1,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",75,90,90,1,3.125,"Anxiety",-5.45,"Morbidity"
"Moderate Elimination",75,90,90,1,3.75,"Anxiety",-34.31,"Morbidity"
"Moderate Elimination",90,50,90,0,2.5,"Anxiety",-0.38,"Morbidity"
"Moderate Elimination",90,50,90,0,3.125,"Anxiety",-10.61,"Morbidity"
"Moderate Elimination",90,50,90,0,3.75,"Anxiety",-69.71,"Morbidity"
"Moderate Elimination",90,50,90,1,2.5,"Anxiety",0,"Morbidity"
"Moderate Elimination",90,50,90,1,3.125,"Anxiety",-4.38,"Morbidity"
"Moderate Elimination",90,50,90,1,3.75,"Anxiety",-29.49,"Morbidity"
"Moderate Elimination",90,75,90,0,2.5,"Anxiety",-0.2,"Morbidity"
"Moderate Elimination",90,75,90,0,3.125,"Anxiety",-6.4,"Morbidity"
"Moderate Elimination",90,75,90,0,3.75,"Anxiety",-51.23,"Morbidity"
"Moderate Elimination",90,75,90,1,2.5,"Anxiety",0,"Morbidity"
"Moderate Elimination",90,75,90,1,3.125,"Anxiety",-4.38,"Morbidity"
"Moderate Elimination",90,75,90,1,3.75,"Anxiety",-28.98,"Morbidity"
"Moderate Elimination",90,90,90,0,2.5,"Anxiety",0,"Morbidity"
"Moderate Elimination",90,90,90,0,3.125,"Anxiety",-6.09,"Morbidity"
"Moderate Elimination",90,90,90,0,3.75,"Anxiety",-46.05,"Morbidity"
"Moderate Elimination",90,90,90,1,2.5,"Anxiety",0,"Morbidity"
"Moderate Elimination",90,90,90,1,3.125,"Anxiety",-4.38,"Morbidity"
"Moderate Elimination",90,90,90,1,3.75,"Anxiety",-29.17,"Morbidity"
"Tight Suppression",50,50,60,0,2.5,"Anxiety",-0.71,"Morbidity"
