"strategy","v1trans","v2trans","vUptake","relax","R0","effect","HALY","timeHorizon","morbt","sortVar"
"Aggressive Elimination",90,50,60,1,3.125,"Anxiety",-52.02,"Y1","Morbidity",1
"Aggressive Elimination",90,50,60,1,3.75,"Anxiety",-131.99,"Y1","Morbidity",1
"Aggressive Elimination",90,75,60,0,2.5,"Anxiety",-98.54,"Y1","Morbidity",1
"Aggressive Elimination",90,75,60,0,3.125,"Anxiety",-146.64,"Y1","Morbidity",1
"Aggressive Elimination",90,75,60,0,3.75,"Anxiety",-242.07,"Y1","Morbidity",1
"Aggressive Elimination",90,75,60,1,2.5,"Anxiety",-28.43,"Y1","Morbidity",1
"Aggressive Elimination",90,75,60,1,3.125,"Anxiety",-51.48,"Y1","Morbidity",1
"Aggressive Elimination",90,75,60,1,3.75,"Anxiety",-116.89,"Y1","Morbidity",1
"Aggressive Elimination",90,90,60,0,2.5,"Anxiety",-86.9,"Y1","Morbidity",1
"Aggressive Elimination",90,90,60,0,3.125,"Anxiety",-135.57,"Y1","Morbidity",1
"Aggressive Elimination",90,90,60,0,3.75,"Anxiety",-225.62,"Y1","Morbidity",1
"Aggressive Elimination",90,90,60,1,2.5,"Anxiety",-28.83,"Y1","Morbidity",1
"Aggressive Elimination",90,90,60,1,3.125,"Anxiety",-50.62,"Y1","Morbidity",1
"Aggressive Elimination",90,90,60,1,3.75,"Anxiety",-113.03,"Y1","Morbidity",1
"Aggressive Elimination",50,50,75,0,2.5,"Anxiety",-115.95,"Y1","Morbidity",1
"Aggressive Elimination",50,50,75,0,3.125,"Anxiety",-180.7,"Y1","Morbidity",1
"Aggressive Elimination",50,50,75,0,3.75,"Anxiety",-266.99,"Y1","Morbidity",1
"Aggressive Elimination",50,50,75,1,2.5,"Anxiety",-29.68,"Y1","Morbidity",1
"Aggressive Elimination",50,50,75,1,3.125,"Anxiety",-63.12,"Y1","Morbidity",1
"Aggressive Elimination",50,50,75,1,3.75,"Anxiety",-167.06,"Y1","Morbidity",1
"Aggressive Elimination",50,75,75,0,2.5,"Anxiety",-103.93,"Y1","Morbidity",1
"Aggressive Elimination",50,75,75,0,3.125,"Anxiety",-168,"Y1","Morbidity",1
"Aggressive Elimination",50,75,75,0,3.75,"Anxiety",-256,"Y1","Morbidity",1
"Aggressive Elimination",50,75,75,1,2.5,"Anxiety",-29.72,"Y1","Morbidity",1
"Aggressive Elimination",50,75,75,1,3.125,"Anxiety",-59.28,"Y1","Morbidity",1
"Aggressive Elimination",50,75,75,1,3.75,"Anxiety",-139.83,"Y1","Morbidity",1
"Aggressive Elimination",50,90,75,0,2.5,"Anxiety",-93.15,"Y1","Morbidity",1
"Aggressive Elimination",50,90,75,0,3.125,"Anxiety",-148.77,"Y1","Morbidity",1
"Aggressive Elimination",50,90,75,0,3.75,"Anxiety",-241.5,"Y1","Morbidity",1
"Aggressive Elimination",50,90,75,1,2.5,"Anxiety",-29.48,"Y1","Morbidity",1
"Aggressive Elimination",50,90,75,1,3.125,"Anxiety",-60.56,"Y1","Morbidity",1
"Aggressive Elimination",50,90,75,1,3.75,"Anxiety",-131.06,"Y1","Morbidity",1
"Aggressive Elimination",75,50,75,0,2.5,"Anxiety",-110.59,"Y1","Morbidity",1
"Aggressive Elimination",75,50,75,0,3.125,"Anxiety",-160.6,"Y1","Morbidity",1
"Aggressive Elimination",75,50,75,0,3.75,"Anxiety",-241.62,"Y1","Morbidity",1
"Aggressive Elimination",75,50,75,1,2.5,"Anxiety",-28.77,"Y1","Morbidity",1
"Aggressive Elimination",75,50,75,1,3.125,"Anxiety",-53.02,"Y1","Morbidity",1
"Aggressive Elimination",75,50,75,1,3.75,"Anxiety",-127.34,"Y1","Morbidity",1
"Aggressive Elimination",75,75,75,0,2.5,"Anxiety",-95.21,"Y1","Morbidity",1
"Aggressive Elimination",75,75,75,0,3.125,"Anxiety",-143.88,"Y1","Morbidity",1
"Aggressive Elimination",75,75,75,0,3.75,"Anxiety",-226.27,"Y1","Morbidity",1
"Aggressive Elimination",75,75,75,1,2.5,"Anxiety",-28.55,"Y1","Morbidity",1
"Aggressive Elimination",75,75,75,1,3.125,"Anxiety",-52.15,"Y1","Morbidity",1
"Aggressive Elimination",75,75,75,1,3.75,"Anxiety",-112.18,"Y1","Morbidity",1
"Aggressive Elimination",75,90,75,0,2.5,"Anxiety",-85.67,"Y1","Morbidity",1
"Aggressive Elimination",75,90,75,0,3.125,"Anxiety",-129.83,"Y1","Morbidity",1
"Aggressive Elimination",75,90,75,0,3.75,"Anxiety",-209.26,"Y1","Morbidity",1
"Aggressive Elimination",75,90,75,1,2.5,"Anxiety",-28.84,"Y1","Morbidity",1
"Aggressive Elimination",75,90,75,1,3.125,"Anxiety",-51.87,"Y1","Morbidity",1
"Aggressive Elimination",75,90,75,1,3.75,"Anxiety",-105.09,"Y1","Morbidity",1
"Aggressive Elimination",90,50,75,0,2.5,"Anxiety",-98.67,"Y1","Morbidity",1
"Aggressive Elimination",90,50,75,0,3.125,"Anxiety",-144.17,"Y1","Morbidity",1
"Aggressive Elimination",90,50,75,0,3.75,"Anxiety",-228.84,"Y1","Morbidity",1
"Aggressive Elimination",90,50,75,1,2.5,"Anxiety",-28.26,"Y1","Morbidity",1
"Aggressive Elimination",90,50,75,1,3.125,"Anxiety",-49.1,"Y1","Morbidity",1
"Aggressive Elimination",90,50,75,1,3.75,"Anxiety",-108.4,"Y1","Morbidity",1
"Aggressive Elimination",90,75,75,0,2.5,"Anxiety",-86.18,"Y1","Morbidity",1
"Aggressive Elimination",90,75,75,0,3.125,"Anxiety",-129.19,"Y1","Morbidity",1
"Aggressive Elimination",90,75,75,0,3.75,"Anxiety",-212.41,"Y1","Morbidity",1
"Aggressive Elimination",90,75,75,1,2.5,"Anxiety",-28.26,"Y1","Morbidity",1
"Aggressive Elimination",90,75,75,1,3.125,"Anxiety",-48.18,"Y1","Morbidity",1
"Aggressive Elimination",90,75,75,1,3.75,"Anxiety",-102.34,"Y1","Morbidity",1
"Aggressive Elimination",90,90,75,0,2.5,"Anxiety",-75.59,"Y1","Morbidity",1
"Aggressive Elimination",90,90,75,0,3.125,"Anxiety",-114.97,"Y1","Morbidity",1
"Aggressive Elimination",90,90,75,0,3.75,"Anxiety",-191.85,"Y1","Morbidity",1
"Aggressive Elimination",90,90,75,1,2.5,"Anxiety",-28.46,"Y1","Morbidity",1
"Aggressive Elimination",90,90,75,1,3.125,"Anxiety",-48.56,"Y1","Morbidity",1
"Aggressive Elimination",90,90,75,1,3.75,"Anxiety",-99.58,"Y1","Morbidity",1
"Aggressive Elimination",50,50,90,0,2.5,"Anxiety",-109.64,"Y1","Morbidity",1
"Aggressive Elimination",50,50,90,0,3.125,"Anxiety",-161.52,"Y1","Morbidity",1
"Aggressive Elimination",50,50,90,0,3.75,"Anxiety",-267.71,"Y1","Morbidity",1
"Aggressive Elimination",50,50,90,1,2.5,"Anxiety",-29.27,"Y1","Morbidity",1
"Aggressive Elimination",50,50,90,1,3.125,"Anxiety",-57.12,"Y1","Morbidity",1
"Aggressive Elimination",50,50,90,1,3.75,"Anxiety",-145.51,"Y1","Morbidity",1
"Aggressive Elimination",50,75,90,0,2.5,"Anxiety",-97.49,"Y1","Morbidity",1
"Aggressive Elimination",50,75,90,0,3.125,"Anxiety",-144.58,"Y1","Morbidity",1
"Aggressive Elimination",50,75,90,0,3.75,"Anxiety",-244.31,"Y1","Morbidity",1
"Aggressive Elimination",50,75,90,1,2.5,"Anxiety",-29.46,"Y1","Morbidity",1
"Aggressive Elimination",50,75,90,1,3.125,"Anxiety",-57.12,"Y1","Morbidity",1
"Aggressive Elimination",50,75,90,1,3.75,"Anxiety",-127.2,"Y1","Morbidity",1
"Aggressive Elimination",50,90,90,0,2.5,"Anxiety",-83.27,"Y1","Morbidity",1
"Aggressive Elimination",50,90,90,0,3.125,"Anxiety",-130.53,"Y1","Morbidity",1
"Aggressive Elimination",50,90,90,0,3.75,"Anxiety",-225.49,"Y1","Morbidity",1
"Aggressive Elimination",50,90,90,1,2.5,"Anxiety",-29.65,"Y1","Morbidity",1
"Aggressive Elimination",50,90,90,1,3.125,"Anxiety",-54.09,"Y1","Morbidity",1
"Aggressive Elimination",50,90,90,1,3.75,"Anxiety",-120.96,"Y1","Morbidity",1
"Aggressive Elimination",75,50,90,0,2.5,"Anxiety",-96.43,"Y1","Morbidity",1
"Aggressive Elimination",75,50,90,0,3.125,"Anxiety",-152.17,"Y1","Morbidity",1
"Aggressive Elimination",75,50,90,0,3.75,"Anxiety",-232.85,"Y1","Morbidity",1
"Aggressive Elimination",75,50,90,1,2.5,"Anxiety",-28.48,"Y1","Morbidity",1
"Aggressive Elimination",75,50,90,1,3.125,"Anxiety",-49.82,"Y1","Morbidity",1
"Aggressive Elimination",75,50,90,1,3.75,"Anxiety",-115.69,"Y1","Morbidity",1
"Aggressive Elimination",75,75,90,0,2.5,"Anxiety",-84.91,"Y1","Morbidity",1
"Aggressive Elimination",75,75,90,0,3.125,"Anxiety",-132.97,"Y1","Morbidity",1
"Aggressive Elimination",75,75,90,0,3.75,"Anxiety",-211.56,"Y1","Morbidity",1
"Aggressive Elimination",75,75,90,1,2.5,"Anxiety",-28.48,"Y1","Morbidity",1
"Aggressive Elimination",75,75,90,1,3.125,"Anxiety",-48.98,"Y1","Morbidity",1
"Aggressive Elimination",75,75,90,1,3.75,"Anxiety",-107.07,"Y1","Morbidity",1
"Aggressive Elimination",75,90,90,0,2.5,"Anxiety",-68.01,"Y1","Morbidity",1
"Aggressive Elimination",75,90,90,0,3.125,"Anxiety",-113.24,"Y1","Morbidity",1
"Aggressive Elimination",75,90,90,0,3.75,"Anxiety",-190.81,"Y1","Morbidity",1
"Aggressive Elimination",75,90,90,1,2.5,"Anxiety",-28.68,"Y1","Morbidity",1
"Aggressive Elimination",75,90,90,1,3.125,"Anxiety",-48.82,"Y1","Morbidity",1
"Aggressive Elimination",75,90,90,1,3.75,"Anxiety",-104.6,"Y1","Morbidity",1
"Aggressive Elimination",90,50,90,0,2.5,"Anxiety",-89.85,"Y1","Morbidity",1
"Aggressive Elimination",90,50,90,0,3.125,"Anxiety",-130.41,"Y1","Morbidity",1
"Aggressive Elimination",90,50,90,0,3.75,"Anxiety",-207.19,"Y1","Morbidity",1
"Aggressive Elimination",90,50,90,1,2.5,"Anxiety",-27.71,"Y1","Morbidity",1
"Aggressive Elimination",90,50,90,1,3.125,"Anxiety",-45.88,"Y1","Morbidity",1
"Aggressive Elimination",90,50,90,1,3.75,"Anxiety",-94.16,"Y1","Morbidity",1
"Aggressive Elimination",90,75,90,0,2.5,"Anxiety",-76.25,"Y1","Morbidity",1
"Aggressive Elimination",90,75,90,0,3.125,"Anxiety",-114.29,"Y1","Morbidity",1
"Aggressive Elimination",90,75,90,0,3.75,"Anxiety",-187.73,"Y1","Morbidity",1
"Aggressive Elimination",90,75,90,1,2.5,"Anxiety",-27.71,"Y1","Morbidity",1
"Aggressive Elimination",90,75,90,1,3.125,"Anxiety",-46.33,"Y1","Morbidity",1
"Aggressive Elimination",90,75,90,1,3.75,"Anxiety",-91.35,"Y1","Morbidity",1
"Aggressive Elimination",90,90,90,0,2.5,"Anxiety",-62.81,"Y1","Morbidity",1
"Aggressive Elimination",90,90,90,0,3.125,"Anxiety",-94.81,"Y1","Morbidity",1
"Aggressive Elimination",90,90,90,0,3.75,"Anxiety",-165.52,"Y1","Morbidity",1
"Aggressive Elimination",90,90,90,1,2.5,"Anxiety",-27.71,"Y1","Morbidity",1
"Aggressive Elimination",90,90,90,1,3.125,"Anxiety",-45.65,"Y1","Morbidity",1
"Aggressive Elimination",90,90,90,1,3.75,"Anxiety",-89.43,"Y1","Morbidity",1
"Moderate Elimination",50,50,60,0,2.5,"Anxiety",-10.54,"Y1","Morbidity",1
"Moderate Elimination",50,50,60,0,3.125,"Anxiety",-62.51,"Y1","Morbidity",1
"Moderate Elimination",50,50,60,0,3.75,"Anxiety",-200.12,"Y1","Morbidity",1
"Moderate Elimination",50,50,60,1,2.5,"Anxiety",-0.79,"Y1","Morbidity",1
"Moderate Elimination",50,50,60,1,3.125,"Anxiety",-9.21,"Y1","Morbidity",1
"Moderate Elimination",50,50,60,1,3.75,"Anxiety",-122.6,"Y1","Morbidity",1
"Moderate Elimination",50,75,60,0,2.5,"Anxiety",-4.49,"Y1","Morbidity",1
"Moderate Elimination",50,75,60,0,3.125,"Anxiety",-39.13,"Y1","Morbidity",1
"Moderate Elimination",50,75,60,0,3.75,"Anxiety",-167.04,"Y1","Morbidity",1
"Moderate Elimination",50,75,60,1,2.5,"Anxiety",-0.79,"Y1","Morbidity",1
"Moderate Elimination",50,75,60,1,3.125,"Anxiety",-9.27,"Y1","Morbidity",1
"Moderate Elimination",50,75,60,1,3.75,"Anxiety",-83.64,"Y1","Morbidity",1
"Moderate Elimination",50,90,60,0,2.5,"Anxiety",-1.8,"Y1","Morbidity",1
"Moderate Elimination",50,90,60,0,3.125,"Anxiety",-30.19,"Y1","Morbidity",1
"Moderate Elimination",50,90,60,0,3.75,"Anxiety",-138.14,"Y1","Morbidity",1
"Moderate Elimination",50,90,60,1,2.5,"Anxiety",-0.79,"Y1","Morbidity",1
"Moderate Elimination",50,90,60,1,3.125,"Anxiety",-8.71,"Y1","Morbidity",1
"Moderate Elimination",50,90,60,1,3.75,"Anxiety",-74.17,"Y1","Morbidity",1
"Moderate Elimination",75,50,60,0,2.5,"Anxiety",-7.05,"Y1","Morbidity",1
"Moderate Elimination",75,50,60,0,3.125,"Anxiety",-44.42,"Y1","Morbidity",1
"Moderate Elimination",75,50,60,0,3.75,"Anxiety",-167.9,"Y1","Morbidity",1
"Moderate Elimination",75,50,60,1,2.5,"Anxiety",-0.2,"Y1","Morbidity",1
"Moderate Elimination",75,50,60,1,3.125,"Anxiety",-7.5,"Y1","Morbidity",1
"Moderate Elimination",75,50,60,1,3.75,"Anxiety",-77.18,"Y1","Morbidity",1
"Moderate Elimination",75,75,60,0,2.5,"Anxiety",-1.54,"Y1","Morbidity",1
"Moderate Elimination",75,75,60,0,3.125,"Anxiety",-25.14,"Y1","Morbidity",1
"Moderate Elimination",75,75,60,0,3.75,"Anxiety",-130.24,"Y1","Morbidity",1
"Moderate Elimination",75,75,60,1,2.5,"Anxiety",-0.2,"Y1","Morbidity",1
"Moderate Elimination",75,75,60,1,3.125,"Anxiety",-7.3,"Y1","Morbidity",1
"Moderate Elimination",75,75,60,1,3.75,"Anxiety",-59.64,"Y1","Morbidity",1
"Moderate Elimination",75,90,60,0,2.5,"Anxiety",-1.4,"Y1","Morbidity",1
"Moderate Elimination",75,90,60,0,3.125,"Anxiety",-19.6,"Y1","Morbidity",1
"Moderate Elimination",75,90,60,0,3.75,"Anxiety",-105.61,"Y1","Morbidity",1
"Moderate Elimination",75,90,60,1,2.5,"Anxiety",-0.2,"Y1","Morbidity",1
"Moderate Elimination",75,90,60,1,3.125,"Anxiety",-7.3,"Y1","Morbidity",1
"Moderate Elimination",75,90,60,1,3.75,"Anxiety",-53.35,"Y1","Morbidity",1
"Moderate Elimination",90,50,60,0,2.5,"Anxiety",-5.25,"Y1","Morbidity",1
"Moderate Elimination",90,50,60,0,3.125,"Anxiety",-29.6,"Y1","Morbidity",1
"Moderate Elimination",90,50,60,0,3.75,"Anxiety",-134.21,"Y1","Morbidity",1
"Moderate Elimination",90,50,60,1,2.5,"Anxiety",-0.39,"Y1","Morbidity",1
"Moderate Elimination",90,50,60,1,3.125,"Anxiety",-5.46,"Y1","Morbidity",1
"Moderate Elimination",90,50,60,1,3.75,"Anxiety",-51.67,"Y1","Morbidity",1
"Moderate Elimination",90,75,60,0,2.5,"Anxiety",-1.84,"Y1","Morbidity",1
"Moderate Elimination",90,75,60,0,3.125,"Anxiety",-17.76,"Y1","Morbidity",1
"Moderate Elimination",90,75,60,0,3.75,"Anxiety",-105.37,"Y1","Morbidity",1
"Moderate Elimination",90,75,60,1,2.5,"Anxiety",-0.39,"Y1","Morbidity",1
"Moderate Elimination",90,75,60,1,3.125,"Anxiety",-5.65,"Y1","Morbidity",1
"Moderate Elimination",90,75,60,1,3.75,"Anxiety",-46.16,"Y1","Morbidity",1
"Moderate Elimination",90,90,60,0,2.5,"Anxiety",-0.78,"Y1","Morbidity",1
"Moderate Elimination",90,90,60,0,3.125,"Anxiety",-12.08,"Y1","Morbidity",1
"Moderate Elimination",90,90,60,0,3.75,"Anxiety",-86.48,"Y1","Morbidity",1
"Moderate Elimination",90,90,60,1,2.5,"Anxiety",-0.39,"Y1","Morbidity",1
"Moderate Elimination",90,90,60,1,3.125,"Anxiety",-5.46,"Y1","Morbidity",1
"Moderate Elimination",90,90,60,1,3.75,"Anxiety",-41.7,"Y1","Morbidity",1
"Moderate Elimination",50,50,75,0,2.5,"Anxiety",-7.18,"Y1","Morbidity",1
"Moderate Elimination",50,50,75,0,3.125,"Anxiety",-48.55,"Y1","Morbidity",1
"Moderate Elimination",50,50,75,0,3.75,"Anxiety",-178.87,"Y1","Morbidity",1
"Moderate Elimination",50,50,75,1,2.5,"Anxiety",-0.99,"Y1","Morbidity",1
"Moderate Elimination",50,50,75,1,3.125,"Anxiety",-7.61,"Y1","Morbidity",1
"Moderate Elimination",50,50,75,1,3.75,"Anxiety",-90.97,"Y1","Morbidity",1
"Moderate Elimination",50,75,75,0,2.5,"Anxiety",-3.44,"Y1","Morbidity",1
"Moderate Elimination",50,75,75,0,3.125,"Anxiety",-27.35,"Y1","Morbidity",1
"Moderate Elimination",50,75,75,0,3.75,"Anxiety",-138.02,"Y1","Morbidity",1
"Moderate Elimination",50,75,75,1,2.5,"Anxiety",-0.79,"Y1","Morbidity",1
"Moderate Elimination",50,75,75,1,3.125,"Anxiety",-7.12,"Y1","Morbidity",1
"Moderate Elimination",50,75,75,1,3.75,"Anxiety",-65.96,"Y1","Morbidity",1
"Moderate Elimination",50,90,75,0,2.5,"Anxiety",-1.19,"Y1","Morbidity",1
"Moderate Elimination",50,90,75,0,3.125,"Anxiety",-19.23,"Y1","Morbidity",1
"Moderate Elimination",50,90,75,0,3.75,"Anxiety",-108.48,"Y1","Morbidity",1
"Moderate Elimination",50,90,75,1,2.5,"Anxiety",-0.79,"Y1","Morbidity",1
"Moderate Elimination",50,90,75,1,3.125,"Anxiety",-6.92,"Y1","Morbidity",1
"Moderate Elimination",50,90,75,1,3.75,"Anxiety",-61.27,"Y1","Morbidity",1
"Moderate Elimination",75,50,75,0,2.5,"Anxiety",-3.91,"Y1","Morbidity",1
"Moderate Elimination",75,50,75,0,3.125,"Anxiety",-30.95,"Y1","Morbidity",1
"Moderate Elimination",75,50,75,0,3.75,"Anxiety",-136.79,"Y1","Morbidity",1
"Moderate Elimination",75,50,75,1,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",75,50,75,1,3.125,"Anxiety",-6.55,"Y1","Morbidity",1
"Moderate Elimination",75,50,75,1,3.75,"Anxiety",-56.16,"Y1","Morbidity",1
"Moderate Elimination",75,75,75,0,2.5,"Anxiety",-1.21,"Y1","Morbidity",1
"Moderate Elimination",75,75,75,0,3.125,"Anxiety",-18.8,"Y1","Morbidity",1
"Moderate Elimination",75,75,75,0,3.75,"Anxiety",-94.26,"Y1","Morbidity",1
"Moderate Elimination",75,75,75,1,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",75,75,75,1,3.125,"Anxiety",-6.75,"Y1","Morbidity",1
"Moderate Elimination",75,75,75,1,3.75,"Anxiety",-45.79,"Y1","Morbidity",1
"Moderate Elimination",75,90,75,0,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",75,90,75,0,3.125,"Anxiety",-14.95,"Y1","Morbidity",1
"Moderate Elimination",75,90,75,0,3.75,"Anxiety",-77.1,"Y1","Morbidity",1
"Moderate Elimination",75,90,75,1,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",75,90,75,1,3.125,"Anxiety",-6.55,"Y1","Morbidity",1
"Moderate Elimination",75,90,75,1,3.75,"Anxiety",-43.79,"Y1","Morbidity",1
"Moderate Elimination",90,50,75,0,2.5,"Anxiety",-2.51,"Y1","Morbidity",1
"Moderate Elimination",90,50,75,0,3.125,"Anxiety",-15.32,"Y1","Morbidity",1
"Moderate Elimination",90,50,75,0,3.75,"Anxiety",-98.6,"Y1","Morbidity",1
"Moderate Elimination",90,50,75,1,2.5,"Anxiety",-0.59,"Y1","Morbidity",1
"Moderate Elimination",90,50,75,1,3.125,"Anxiety",-5.14,"Y1","Morbidity",1
"Moderate Elimination",90,50,75,1,3.75,"Anxiety",-36.54,"Y1","Morbidity",1
"Moderate Elimination",90,75,75,0,2.5,"Anxiety",-1.19,"Y1","Morbidity",1
"Moderate Elimination",90,75,75,0,3.125,"Anxiety",-9.33,"Y1","Morbidity",1
"Moderate Elimination",90,75,75,0,3.75,"Anxiety",-66.82,"Y1","Morbidity",1
"Moderate Elimination",90,75,75,1,2.5,"Anxiety",-0.59,"Y1","Morbidity",1
"Moderate Elimination",90,75,75,1,3.125,"Anxiety",-5.14,"Y1","Morbidity",1
"Moderate Elimination",90,75,75,1,3.75,"Anxiety",-34.32,"Y1","Morbidity",1
"Moderate Elimination",90,90,75,0,2.5,"Anxiety",-0.59,"Y1","Morbidity",1
"Moderate Elimination",90,90,75,0,3.125,"Anxiety",-7.1,"Y1","Morbidity",1
"Moderate Elimination",90,90,75,0,3.75,"Anxiety",-54.43,"Y1","Morbidity",1
"Moderate Elimination",90,90,75,1,2.5,"Anxiety",-0.59,"Y1","Morbidity",1
"Moderate Elimination",90,90,75,1,3.125,"Anxiety",-5.14,"Y1","Morbidity",1
"Moderate Elimination",90,90,75,1,3.75,"Anxiety",-32.59,"Y1","Morbidity",1
"Moderate Elimination",50,50,90,0,2.5,"Anxiety",-4.91,"Y1","Morbidity",1
"Moderate Elimination",50,50,90,0,3.125,"Anxiety",-36.56,"Y1","Morbidity",1
"Moderate Elimination",50,50,90,0,3.75,"Anxiety",-148.02,"Y1","Morbidity",1
"Moderate Elimination",50,50,90,1,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",50,50,90,1,3.125,"Anxiety",-8.59,"Y1","Morbidity",1
"Moderate Elimination",50,50,90,1,3.75,"Anxiety",-71.49,"Y1","Morbidity",1
"Moderate Elimination",50,75,90,0,2.5,"Anxiety",-0.6,"Y1","Morbidity",1
"Moderate Elimination",50,75,90,0,3.125,"Anxiety",-22.77,"Y1","Morbidity",1
"Moderate Elimination",50,75,90,0,3.75,"Anxiety",-114.9,"Y1","Morbidity",1
"Moderate Elimination",50,75,90,1,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",50,75,90,1,3.125,"Anxiety",-8.4,"Y1","Morbidity",1
"Moderate Elimination",50,75,90,1,3.75,"Anxiety",-54.89,"Y1","Morbidity",1
"Moderate Elimination",50,90,90,0,2.5,"Anxiety",-0.6,"Y1","Morbidity",1
"Moderate Elimination",50,90,90,0,3.125,"Anxiety",-17.99,"Y1","Morbidity",1
"Moderate Elimination",50,90,90,0,3.75,"Anxiety",-89.79,"Y1","Morbidity",1
"Moderate Elimination",50,90,90,1,2.5,"Anxiety",-0.4,"Y1","Morbidity",1
"Moderate Elimination",50,90,90,1,3.125,"Anxiety",-8.6,"Y1","Morbidity",1
"Moderate Elimination",50,90,90,1,3.75,"Anxiety",-49.48,"Y1","Morbidity",1
"Moderate Elimination",75,50,90,0,2.5,"Anxiety",-2.09,"Y1","Morbidity",1
"Moderate Elimination",75,50,90,0,3.125,"Anxiety",-19.49,"Y1","Morbidity",1
"Moderate Elimination",75,50,90,0,3.75,"Anxiety",-103.03,"Y1","Morbidity",1
"Moderate Elimination",75,50,90,1,2.5,"Anxiety",-0.2,"Y1","Morbidity",1
