"v1trans","v2trans","vUptake","strategy","relax","R0","HALYprice","p"
50,75,75,"Tight Suppression",0,2.5,0,0.369764828588814
75,75,75,"Tight Suppression",0,2.5,0,0.129196595167741
90,75,75,"Tight Suppression",0,2.5,0,0.965490642469376
50,90,75,"Tight Suppression",0,2.5,0,0.465208282694221
75,90,75,"Tight Suppression",0,2.5,0,0.501837569754571
90,90,75,"Tight Suppression",0,2.5,0,0.410448726033792
50,50,90,"Tight Suppression",0,2.5,0,0.627059217775241
75,50,90,"Tight Suppression",0,2.5,0,0.810435762163252
90,50,90,"Tight Suppression",0,2.5,0,0.491141995647922
50,75,90,"Tight Suppression",0,2.5,0,0.438985793851316
75,75,90,"Tight Suppression",0,2.5,0,0.483696892624721
90,75,90,"Tight Suppression",0,2.5,0,0.15877045947127
50,90,90,"Tight Suppression",0,2.5,0,0.965302739525214
75,90,90,"Tight Suppression",0,2.5,0,0.130854559596628
90,90,90,"Tight Suppression",0,2.5,0,0.805944809922948
50,50,60,"Moderate Elimination",0,2.5,0,0.386764682596549
75,50,60,"Moderate Elimination",0,2.5,0,0.567027956712991
90,50,60,"Moderate Elimination",0,2.5,0,0.0229576881974936
50,75,60,"Moderate Elimination",0,2.5,0,0.402076231781393
75,75,60,"Moderate Elimination",0,2.5,0,0.670283838408068
90,75,60,"Moderate Elimination",0,2.5,0,0.369184896117076
50,90,60,"Moderate Elimination",0,2.5,0,0.0982895588967949
75,90,60,"Moderate Elimination",0,2.5,0,0.885066660819575
90,90,60,"Moderate Elimination",0,2.5,0,0.932572386227548
50,50,75,"Moderate Elimination",0,2.5,0,0.866461459547281
75,50,75,"Moderate Elimination",0,2.5,0,0.783708174014464
90,50,75,"Moderate Elimination",0,2.5,0,0.566832656273618
50,75,75,"Moderate Elimination",0,2.5,0,0.327418210916221
75,75,75,"Moderate Elimination",0,2.5,0,0.0074788557831198
90,75,75,"Moderate Elimination",0,2.5,0,0.654952371027321
50,90,75,"Moderate Elimination",0,2.5,0,0.286247401498258
75,90,75,"Moderate Elimination",0,2.5,0,0.339091164525598
90,90,75,"Moderate Elimination",0,2.5,0,0.00409463420510292
50,50,90,"Moderate Elimination",0,2.5,0,0.363247503759339
75,50,90,"Moderate Elimination",0,2.5,0,0.474063228117302
90,50,90,"Moderate Elimination",0,2.5,0,0.51984274177812
50,75,90,"Moderate Elimination",0,2.5,0,0.771241934737191
75,75,90,"Moderate Elimination",0,2.5,0,0.504233375424519
90,75,90,"Moderate Elimination",0,2.5,0,0.031563957221806
50,90,90,"Moderate Elimination",0,2.5,0,0.395691429497674
75,90,90,"Moderate Elimination",0,2.5,0,0.113579260651022
90,90,90,"Moderate Elimination",0,2.5,0,0.172848669812083
50,50,60,"Aggressive Elimination",0,2.5,0,0.587583716027439
75,50,60,"Aggressive Elimination",0,2.5,0,0.680657243356109
90,50,60,"Aggressive Elimination",0,2.5,0,0.399623948847875
50,75,60,"Aggressive Elimination",0,2.5,0,0.718446937156841
75,75,60,"Aggressive Elimination",0,2.5,0,0.198155710007995
90,75,60,"Aggressive Elimination",0,2.5,0,0.376633413136005
50,90,60,"Aggressive Elimination",0,2.5,0,0.193220034707338
75,90,60,"Aggressive Elimination",0,2.5,0,0.856754600303248
90,90,60,"Aggressive Elimination",0,2.5,0,0.524689343990758
50,50,75,"Aggressive Elimination",0,2.5,0,0.868777068797499
75,50,75,"Aggressive Elimination",0,2.5,0,0.195964181330055
90,50,75,"Aggressive Elimination",0,2.5,0,0.866477091796696
50,75,75,"Aggressive Elimination",0,2.5,0,0.962722267955542
75,75,75,"Aggressive Elimination",0,2.5,0,0.428708527935669
90,75,75,"Aggressive Elimination",0,2.5,0,0.976297967834398
50,90,75,"Aggressive Elimination",0,2.5,0,0.439293176401407
75,90,75,"Aggressive Elimination",0,2.5,0,0.0134409489110112
90,90,75,"Aggressive Elimination",0,2.5,0,0.314238752704114
50,50,90,"Aggressive Elimination",0,2.5,0,0.808357834117487
75,50,90,"Aggressive Elimination",0,2.5,0,0.973745457828045
90,50,90,"Aggressive Elimination",0,2.5,0,0.443848359864205
50,75,90,"Aggressive Elimination",0,2.5,0,0.161039953585714
75,75,90,"Aggressive Elimination",0,2.5,0,0.781141626182944
90,75,90,"Aggressive Elimination",0,2.5,0,0.821574554778636
50,90,90,"Aggressive Elimination",0,2.5,0,0.106611272785813
75,90,90,"Aggressive Elimination",0,2.5,0,0.71149228233844
90,90,90,"Aggressive Elimination",0,2.5,0,0.443818166153505
50,50,60,"Loose Suppression",1,2.5,0,0.0352946859784424
75,50,60,"Loose Suppression",1,2.5,0,0.51541915605776
90,50,60,"Loose Suppression",1,2.5,0,0.0267700683325529
50,75,60,"Loose Suppression",1,2.5,0,0.859544203383848
75,75,60,"Loose Suppression",1,2.5,0,0.363692264771089
90,75,60,"Loose Suppression",1,2.5,0,0.377953247865662
50,90,60,"Loose Suppression",1,2.5,0,0.425090274540707
75,90,60,"Loose Suppression",1,2.5,0,0.682591274846345
90,90,60,"Loose Suppression",1,2.5,0,0.212723234202713
50,50,75,"Loose Suppression",1,2.5,0,0.804988383781165
75,50,75,"Loose Suppression",1,2.5,0,0.639546545688063
90,50,75,"Loose Suppression",1,2.5,0,0.885528438957408
50,75,75,"Loose Suppression",1,2.5,0,0.453564452240244
75,75,75,"Loose Suppression",1,2.5,0,0.77071672771126
90,75,75,"Loose Suppression",1,2.5,0,0.0534482430666685
50,90,75,"Loose Suppression",1,2.5,0,0.898459380026907
75,90,75,"Loose Suppression",1,2.5,0,0.951589781790972
90,90,75,"Loose Suppression",1,2.5,0,0.0599661101587117
50,50,90,"Loose Suppression",1,2.5,0,0.109892209293321
75,50,90,"Loose Suppression",1,2.5,0,0.0922567883972079
90,50,90,"Loose Suppression",1,2.5,0,0.837114655645564
50,75,90,"Loose Suppression",1,2.5,0,0.90344777982682
75,75,90,"Loose Suppression",1,2.5,0,0.729965806705877
90,75,90,"Loose Suppression",1,2.5,0,0.551498310174793
50,90,90,"Loose Suppression",1,2.5,0,0.612861147383228
75,90,90,"Loose Suppression",1,2.5,0,0.644518094137311
90,90,90,"Loose Suppression",1,2.5,0,0.735931299161166
50,50,60,"Tight Suppression",1,2.5,0,0.391721390886232
75,50,60,"Tight Suppression",1,2.5,0,0.939132092054933
90,50,60,"Tight Suppression",1,2.5,0,0.760647486429662
50,75,60,"Tight Suppression",1,2.5,0,0.461465242085978
75,75,60,"Tight Suppression",1,2.5,0,0.303291184362024
90,75,60,"Tight Suppression",1,2.5,0,0.599491869332269
50,90,60,"Tight Suppression",1,2.5,0,0.0251772678457201
75,90,60,"Tight Suppression",1,2.5,0,0.472543820971623
90,90,60,"Tight Suppression",1,2.5,0,0.257388852536678
50,50,75,"Tight Suppression",1,2.5,0,0.794015472522005
75,50,75,"Tight Suppression",1,2.5,0,0.00287145143374801
90,50,75,"Tight Suppression",1,2.5,0,0.638521694112569
50,75,75,"Tight Suppression",1,2.5,0,0.782455430133268
75,75,75,"Tight Suppression",1,2.5,0,0.995841941796243
90,75,75,"Tight Suppression",1,2.5,0,0.390839570434764
50,90,75,"Tight Suppression",1,2.5,0,0.511095871217549
75,90,75,"Tight Suppression",1,2.5,0,0.0401020871941
90,90,75,"Tight Suppression",1,2.5,0,0.310496557038277
50,50,90,"Tight Suppression",1,2.5,0,0.681020106421784
75,50,90,"Tight Suppression",1,2.5,0,0.938603017479181
90,50,90,"Tight Suppression",1,2.5,0,0.267389414133504
50,75,90,"Tight Suppression",1,2.5,0,0.261086804093793
75,75,90,"Tight Suppression",1,2.5,0,0.425900295143947
90,75,90,"Tight Suppression",1,2.5,0,0.489726718515158
50,90,90,"Tight Suppression",1,2.5,0,0.337867894442752
75,90,90,"Tight Suppression",1,2.5,0,0.259249914670363
90,90,90,"Tight Suppression",1,2.5,0,0.787948143901303
50,50,60,"Moderate Elimination",1,2.5,0,0.296233612578362
75,50,60,"Moderate Elimination",1,2.5,0,0.545172000303864
90,50,60,"Moderate Elimination",1,2.5,0,0.575067267520353
50,75,60,"Moderate Elimination",1,2.5,0,0.785054524196312
75,75,60,"Moderate Elimination",1,2.5,0,0.681238783989102
90,75,60,"Moderate Elimination",1,2.5,0,0.341507649980485
50,90,60,"Moderate Elimination",1,2.5,0,0.478905292926356
75,90,60,"Moderate Elimination",1,2.5,0,0.656108241528273
90,90,60,"Moderate Elimination",1,2.5,0,0.711790661793202
50,50,75,"Moderate Elimination",1,2.5,0,0.171865838812664
75,50,75,"Moderate Elimination",1,2.5,0,0.694338192464784
90,50,75,"Moderate Elimination",1,2.5,0,0.248480511829257
50,75,75,"Moderate Elimination",1,2.5,0,0.529132922645658
75,75,75,"Moderate Elimination",1,2.5,0,0.559881786815822
90,75,75,"Moderate Elimination",1,2.5,0,0.723307351814583
50,90,75,"Moderate Elimination",1,2.5,0,0.788330947048962
75,90,75,"Moderate Elimination",1,2.5,0,0.0484715194907039
90,90,75,"Moderate Elimination",1,2.5,0,0.665427848463878
50,50,90,"Moderate Elimination",1,2.5,0,0.639912230195478
75,50,90,"Moderate Elimination",1,2.5,0,0.300172947579995
90,50,90,"Moderate Elimination",1,2.5,0,0.376459078397602
50,75,90,"Moderate Elimination",1,2.5,0,0.0823666015639901
75,75,90,"Moderate Elimination",1,2.5,0,0.147894357331097
90,75,90,"Moderate Elimination",1,2.5,0,0.954470575321466
50,90,90,"Moderate Elimination",1,2.5,0,0.15062636625953
75,90,90,"Moderate Elimination",1,2.5,0,0.755376195069402
90,90,90,"Moderate Elimination",1,2.5,0,0.717024812242016
50,50,60,"Aggressive Elimination",1,2.5,0,0.0438466218765825
75,50,60,"Aggressive Elimination",1,2.5,0,0.217477254103869
90,50,60,"Aggressive Elimination",1,2.5,0,0.0552742730360478
50,75,60,"Aggressive Elimination",1,2.5,0,0.62335444544442
75,75,60,"Aggressive Elimination",1,2.5,0,0.978092249948531
90,75,60,"Aggressive Elimination",1,2.5,0,0.230448321904987
50,90,60,"Aggressive Elimination",1,2.5,0,0.935920047108084
75,90,60,"Aggressive Elimination",1,2.5,0,0.984908216632903
90,90,60,"Aggressive Elimination",1,2.5,0,0.702109253732488
50,50,75,"Aggressive Elimination",1,2.5,0,0.260143562918529
75,50,75,"Aggressive Elimination",1,2.5,0,0.596835742937401
90,50,75,"Aggressive Elimination",1,2.5,0,0.787879911717027
50,75,75,"Aggressive Elimination",1,2.5,0,0.667649791575968
75,75,75,"Aggressive Elimination",1,2.5,0,0.123642087448388
90,75,75,"Aggressive Elimination",1,2.5,0,0.45622528064996
50,90,75,"Aggressive Elimination",1,2.5,0,0.508886745199561
75,90,75,"Aggressive Elimination",1,2.5,0,0.291864461731166
90,90,75,"Aggressive Elimination",1,2.5,0,0.0606175425928086
50,50,90,"Aggressive Elimination",1,2.5,0,0.439646027749404
75,50,90,"Aggressive Elimination",1,2.5,0,0.560098724905401
90,50,90,"Aggressive Elimination",1,2.5,0,0.335711662657559
50,75,90,"Aggressive Elimination",1,2.5,0,0.324539163615555
75,75,90,"Aggressive Elimination",1,2.5,0,0.989964881911874
90,75,90,"Aggressive Elimination",1,2.5,0,0.137651656754315
50,90,90,"Aggressive Elimination",1,2.5,0,0.0545438907574862
75,90,90,"Aggressive Elimination",1,2.5,0,0.599679422331974
90,90,90,"Aggressive Elimination",1,2.5,0,0.80938357533887
50,50,60,"Loose Suppression",0,3.125,0,0.322619631420821
75,50,60,"Loose Suppression",0,3.125,0,0.680728826439008
90,50,60,"Loose Suppression",0,3.125,0,0.660983001580462
50,75,60,"Loose Suppression",0,3.125,0,0.410809964174405
75,75,60,"Loose Suppression",0,3.125,0,0.219115868909284
90,75,60,"Loose Suppression",0,3.125,0,0.0861137805040926
50,90,60,"Loose Suppression",0,3.125,0,0.0570903080515563
75,90,60,"Loose Suppression",0,3.125,0,0.574932527728379
90,90,60,"Loose Suppression",0,3.125,0,0.118142526363954
50,50,75,"Loose Suppression",0,3.125,0,0.0209602338727564
75,50,75,"Loose Suppression",0,3.125,0,0.0681761165615171
90,50,75,"Loose Suppression",0,3.125,0,0.374728896422312
50,75,75,"Loose Suppression",0,3.125,0,0.146491287043318
75,75,75,"Loose Suppression",0,3.125,0,0.320504618342966
90,75,75,"Loose Suppression",0,3.125,0,0.846999421017244
50,90,75,"Loose Suppression",0,3.125,0,0.10320844873786
75,90,75,"Loose Suppression",0,3.125,0,0.920423378935084
90,90,75,"Loose Suppression",0,3.125,0,0.0665564609225839
50,50,90,"Loose Suppression",0,3.125,0,0.331305153435096
75,50,90,"Loose Suppression",0,3.125,0,0.952238484984264
90,50,90,"Loose Suppression",0,3.125,0,0.930690186098218
50,75,90,"Loose Suppression",0,3.125,0,0.304570474196225
75,75,90,"Loose Suppression",0,3.125,0,0.944935403764248
90,75,90,"Loose Suppression",0,3.125,0,0.898122088052332
50,90,90,"Loose Suppression",0,3.125,0,0.791845265543088
75,90,90,"Loose Suppression",0,3.125,0,0.611300259362906
90,90,90,"Loose Suppression",0,3.125,0,0.512328470824286
50,50,60,"Tight Suppression",0,3.125,0,0.577316478826106
75,50,60,"Tight Suppression",0,3.125,0,0.454509073402733
90,50,60,"Tight Suppression",0,3.125,0,0.766589379636571
50,75,60,"Tight Suppression",0,3.125,0,0.350965449120849
75,75,60,"Tight Suppression",0,3.125,0,0.936111217597499
90,75,60,"Tight Suppression",0,3.125,0,0.26710003381595
50,90,60,"Tight Suppression",0,3.125,0,0.669877676758915
75,90,60,"Tight Suppression",0,3.125,0,0.895873324247077
90,90,60,"Tight Suppression",0,3.125,0,0.303264282410964
50,50,75,"Tight Suppression",0,3.125,0,0.920949390158057
75,50,75,"Tight Suppression",0,3.125,0,0.515779743902385
90,50,75,"Tight Suppression",0,3.125,0,0.59356368216686
50,75,75,"Tight Suppression",0,3.125,0,0.0193394375964999
75,75,75,"Tight Suppression",0,3.125,0,0.727054887451231
90,75,75,"Tight Suppression",0,3.125,0,0.855300791794434
50,90,75,"Tight Suppression",0,3.125,0,0.934645778732374
75,90,75,"Tight Suppression",0,3.125,0,0.11844668793492
90,90,75,"Tight Suppression",0,3.125,0,0.167114727664739
50,50,90,"Tight Suppression",0,3.125,0,0.890392032917589
75,50,90,"Tight Suppression",0,3.125,0,0.0411219010129571
90,50,90,"Tight Suppression",0,3.125,0,0.818441789364442
50,75,90,"Tight Suppression",0,3.125,0,0.119814325356856
75,75,90,"Tight Suppression",0,3.125,0,0.243502226658165
90,75,90,"Tight Suppression",0,3.125,0,0.685961475595832
50,90,90,"Tight Suppression",0,3.125,0,0.830583392176777
75,90,90,"Tight Suppression",0,3.125,0,0.514517567120492
90,90,90,"Tight Suppression",0,3.125,0,0.300535548711196
50,50,60,"Moderate Elimination",0,3.125,0,0.546423017745838
75,50,60,"Moderate Elimination",0,3.125,0,0.64994689100422
90,50,60,"Moderate Elimination",0,3.125,0,0.576627510366961
50,75,60,"Moderate Elimination",0,3.125,0,0.134892521658912
75,75,60,"Moderate Elimination",0,3.125,0,0.0931521474849433
90,75,60,"Moderate Elimination",0,3.125,0,0.143240060424432
50,90,60,"Moderate Elimination",0,3.125,0,0.0994618351105601
75,90,60,"Moderate Elimination",0,3.125,0,0.387991040013731
90,90,60,"Moderate Elimination",0,3.125,0,0.595011172816157
50,50,75,"Moderate Elimination",0,3.125,0,0.159074023133144
75,50,75,"Moderate Elimination",0,3.125,0,0.089996027527377
90,50,75,"Moderate Elimination",0,3.125,0,0.475104093784466
50,75,75,"Moderate Elimination",0,3.125,0,0.247445502784103
75,75,75,"Moderate Elimination",0,3.125,0,0.240831233095378
90,75,75,"Moderate Elimination",0,3.125,0,0.488209441071376
50,90,75,"Moderate Elimination",0,3.125,0,0.823255372932181
75,90,75,"Moderate Elimination",0,3.125,0,0.955133431591094
90,90,75,"Moderate Elimination",0,3.125,0,0.813596048625186
50,50,90,"Moderate Elimination",0,3.125,0,0.26631568884477
75,50,90,"Moderate Elimination",0,3.125,0,0.405920313438401
90,50,90,"Moderate Elimination",0,3.125,0,0.294809076469392
50,75,90,"Moderate Elimination",0,3.125,0,0.429068577475846
75,75,90,"Moderate Elimination",0,3.125,0,0.522382411640137
90,75,90,"Moderate Elimination",0,3.125,0,0.47832992579788
50,90,90,"Moderate Elimination",0,3.125,0,0.61766369221732
75,90,90,"Moderate Elimination",0,3.125,0,0.98037666012533
90,90,90,"Moderate Elimination",0,3.125,0,0.505035401554778
50,50,60,"Aggressive Elimination",0,3.125,0,0.453638916602358
75,50,60,"Aggressive Elimination",0,3.125,0,0.731889575021341
90,50,60,"Aggressive Elimination",0,3.125,0,0.869301216909662
50,75,60,"Aggressive Elimination",0,3.125,0,0.697063506115228
75,75,60,"Aggressive Elimination",0,3.125,0,0.358123210957274
90,75,60,"Aggressive Elimination",0,3.125,0,0.618776945630088
50,90,60,"Aggressive Elimination",0,3.125,0,0.0382174653932452
75,90,60,"Aggressive Elimination",0,3.125,0,0.201832538004965
90,90,60,"Aggressive Elimination",0,3.125,0,0.345645435154438
50,50,75,"Aggressive Elimination",0,3.125,0,0.863823813619092
75,50,75,"Aggressive Elimination",0,3.125,0,0.776212509023026
90,50,75,"Aggressive Elimination",0,3.125,0,0.474716055672616
50,75,75,"Aggressive Elimination",0,3.125,0,0.0801320446189493
75,75,75,"Aggressive Elimination",0,3.125,0,0.439283810323104
90,75,75,"Aggressive Elimination",0,3.125,0,0.606212386162952
50,90,75,"Aggressive Elimination",0,3.125,0,0.997895019827411
75,90,75,"Aggressive Elimination",0,3.125,0,0.627767394529656
90,90,75,"Aggressive Elimination",0,3.125,0,0.0818303504493088
50,50,90,"Aggressive Elimination",0,3.125,0,0.347806828795001
75,50,90,"Aggressive Elimination",0,3.125,0,0.884687842801213
90,50,90,"Aggressive Elimination",0,3.125,0,0.556414798134938
50,75,90,"Aggressive Elimination",0,3.125,0,0.177152977325022
75,75,90,"Aggressive Elimination",0,3.125,0,0.691652815788984
90,75,90,"Aggressive Elimination",0,3.125,0,0.628319881856441
50,90,90,"Aggressive Elimination",0,3.125,0,0.643742964370176
75,90,90,"Aggressive Elimination",0,3.125,0,0.663513956358656
90,90,90,"Aggressive Elimination",0,3.125,0,0.0821594162844121
50,50,60,"Loose Suppression",1,3.125,0,0.0186236354056746
75,50,60,"Loose Suppression",1,3.125,0,0.891618403606117
90,50,60,"Loose Suppression",1,3.125,0,0.961200414225459
50,75,60,"Loose Suppression",1,3.125,0,0.335319803329185
75,75,60,"Loose Suppression",1,3.125,0,0.374329018639401
90,75,60,"Loose Suppression",1,3.125,0,0.869805213529617
50,90,60,"Loose Suppression",1,3.125,0,0.323516591684893
75,90,60,"Loose Suppression",1,3.125,0,0.866159808123484
90,90,60,"Loose Suppression",1,3.125,0,0.920705854427069
50,50,75,"Loose Suppression",1,3.125,0,0.758612436475232
75,50,75,"Loose Suppression",1,3.125,0,0.655413555447012
90,50,75,"Loose Suppression",1,3.125,0,0.332973137963563
50,75,75,"Loose Suppression",1,3.125,0,0.829376230482012
75,75,75,"Loose Suppression",1,3.125,0,0.765212132595479
90,75,75,"Loose Suppression",1,3.125,0,0.481306476751342
50,90,75,"Loose Suppression",1,3.125,0,0.368962329113856
75,90,75,"Loose Suppression",1,3.125,0,0.949142944533378
90,90,75,"Loose Suppression",1,3.125,0,0.569144276203588
50,50,90,"Loose Suppression",1,3.125,0,0.49365369300358
75,50,90,"Loose Suppression",1,3.125,0,0.684002479771152
90,50,90,"Loose Suppression",1,3.125,0,0.856020977487788
50,75,90,"Loose Suppression",1,3.125,0,0.388476131018251
75,75,90,"Loose Suppression",1,3.125,0,0.537720472319052
90,75,90,"Loose Suppression",1,3.125,0,0.428276441991329
50,90,90,"Loose Suppression",1,3.125,0,0.182456360664219
75,90,90,"Loose Suppression",1,3.125,0,0.580306346295401
90,90,90,"Loose Suppression",1,3.125,0,0.277246466604993
50,50,60,"Tight Suppression",1,3.125,0,0.144577889004722
75,50,60,"Tight Suppression",1,3.125,0,0.338034728076309
90,50,60,"Tight Suppression",1,3.125,0,0.367996144806966
50,75,60,"Tight Suppression",1,3.125,0,0.795402198564261
75,75,60,"Tight Suppression",1,3.125,0,0.933466141344979
90,75,60,"Tight Suppression",1,3.125,0,0.829905111109838
50,90,60,"Tight Suppression",1,3.125,0,0.0981876743026078
75,90,60,"Tight Suppression",1,3.125,0,0.119259472703561
90,90,60,"Tight Suppression",1,3.125,0,0.288590788841248
50,50,75,"Tight Suppression",1,3.125,0,0.0926851180847734
75,50,75,"Tight Suppression",1,3.125,0,0.0177255014423281
90,50,75,"Tight Suppression",1,3.125,0,0.75857118377462
50,75,75,"Tight Suppression",1,3.125,0,0.838036171393469
75,75,75,"Tight Suppression",1,3.125,0,0.56024420587346
90,75,75,"Tight Suppression",1,3.125,0,0.22878660610877
50,90,75,"Tight Suppression",1,3.125,0,0.494193055666983
75,90,75,"Tight Suppression",1,3.125,0,0.778055812697858
90,90,75,"Tight Suppression",1,3.125,0,0.933527067070827
50,50,90,"Tight Suppression",1,3.125,0,0.696923404932022
75,50,90,"Tight Suppression",1,3.125,0,0.941317502176389
90,50,90,"Tight Suppression",1,3.125,0,0.116273761726916
50,75,90,"Tight Suppression",1,3.125,0,0.110190343111753
75,75,90,"Tight Suppression",1,3.125,0,0.939742380287498
90,75,90,"Tight Suppression",1,3.125,0,0.153491451404989
50,90,90,"Tight Suppression",1,3.125,0,0.493911671219394
75,90,90,"Tight Suppression",1,3.125,0,0.420361549360678
90,90,90,"Tight Suppression",1,3.125,0,0.895075105829164
50,50,60,"Moderate Elimination",1,3.125,0,0.280261797597632
75,50,60,"Moderate Elimination",1,3.125,0,0.161418256117031
90,50,60,"Moderate Elimination",1,3.125,0,0.497036439133808
50,75,60,"Moderate Elimination",1,3.125,0,0.503970762947574
75,75,60,"Moderate Elimination",1,3.125,0,0.882143195951357
90,75,60,"Moderate Elimination",1,3.125,0,0.959564618067816
50,90,60,"Moderate Elimination",1,3.125,0,0.979158753762022
75,90,60,"Moderate Elimination",1,3.125,0,0.260285922326148
90,90,60,"Moderate Elimination",1,3.125,0,0.24963174876757
50,50,75,"Moderate Elimination",1,3.125,0,0.736315088346601
75,50,75,"Moderate Elimination",1,3.125,0,0.238686077995226
90,50,75,"Moderate Elimination",1,3.125,0,0.562228724593297
50,75,75,"Moderate Elimination",1,3.125,0,0.984104990959167
75,75,75,"Moderate Elimination",1,3.125,0,0.0961050281766802
90,75,75,"Moderate Elimination",1,3.125,0,0.269903601147234
50,90,75,"Moderate Elimination",1,3.125,0,0.750153350876644
75,90,75,"Moderate Elimination",1,3.125,0,0.143715198617429
90,90,75,"Moderate Elimination",1,3.125,0,0.550696248654276
50,50,90,"Moderate Elimination",1,3.125,0,0.109683183254674
75,50,90,"Moderate Elimination",1,3.125,0,0.749300545314327
90,50,90,"Moderate Elimination",1,3.125,0,0.25318071548827
50,75,90,"Moderate Elimination",1,3.125,0,0.264961929759011
75,75,90,"Moderate Elimination",1,3.125,0,0.618197034811601
90,75,90,"Moderate Elimination",1,3.125,0,0.975081423530355
50,90,90,"Moderate Elimination",1,3.125,0,0.881736580049619
75,90,90,"Moderate Elimination",1,3.125,0,0.745396898593754
90,90,90,"Moderate Elimination",1,3.125,0,0.538357874611393
50,50,60,"Aggressive Elimination",1,3.125,0,0.0771164044272155
75,50,60,"Aggressive Elimination",1,3.125,0,0.293582253390923
90,50,60,"Aggressive Elimination",1,3.125,0,0.436705824220553
50,75,60,"Aggressive Elimination",1,3.125,0,0.848833367461339
75,75,60,"Aggressive Elimination",1,3.125,0,0.349174595670775
90,75,60,"Aggressive Elimination",1,3.125,0,0.144271781435236
50,90,60,"Aggressive Elimination",1,3.125,0,0.171726727625355
75,90,60,"Aggressive Elimination",1,3.125,0,0.211824270198122
90,90,60,"Aggressive Elimination",1,3.125,0,0.919925931375474
50,50,75,"Aggressive Elimination",1,3.125,0,0.234206911642104
75,50,75,"Aggressive Elimination",1,3.125,0,0.630243230611086
90,50,75,"Aggressive Elimination",1,3.125,0,0.106139810755849
50,75,75,"Aggressive Elimination",1,3.125,0,0.870533989742398
75,75,75,"Aggressive Elimination",1,3.125,0,0.237582681467757
90,75,75,"Aggressive Elimination",1,3.125,0,0.678749724756926
50,90,75,"Aggressive Elimination",1,3.125,0,0.265524831600487
75,90,75,"Aggressive Elimination",1,3.125,0,0.276305104605854
90,90,75,"Aggressive Elimination",1,3.125,0,0.515431527746841
50,50,90,"Aggressive Elimination",1,3.125,0,0.109570038504899
75,50,90,"Aggressive Elimination",1,3.125,0,0.451312630902976
90,50,90,"Aggressive Elimination",1,3.125,0,0.597367619164288
50,75,90,"Aggressive Elimination",1,3.125,0,0.950632486492395
75,75,90,"Aggressive Elimination",1,3.125,0,0.441773578058928
90,75,90,"Aggressive Elimination",1,3.125,0,0.095128491288051
50,90,90,"Aggressive Elimination",1,3.125,0,0.13142173551023
75,90,90,"Aggressive Elimination",1,3.125,0,0.581352851586416
90,90,90,"Aggressive Elimination",1,3.125,0,0.369827681453899
50,50,60,"Loose Suppression",0,3.75,0,0.458395959110931
75,50,60,"Loose Suppression",0,3.75,0,0.509417210472748
90,50,60,"Loose Suppression",0,3.75,0,0.684896546648815
50,75,60,"Loose Suppression",0,3.75,0,0.34382856846787
75,75,60,"Loose Suppression",0,3.75,0,0.465383330825716
