"v1trans","v2trans","vUptake","strategy","relax","R0","timeHorizon","effect","HALY"
90,75,75,"Tight Suppression",0,2.5,"Y1","COVID-19",20.8534077275544
50,90,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-477.991386968643
75,90,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-675.26467605494
90,90,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-72.6960326544941
50,50,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-112.815296463668
75,50,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-706.988123198971
90,50,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-564.114724239334
50,75,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-363.968606060371
75,75,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-442.194858985022
90,75,90,"Tight Suppression",0,2.5,"Y1","COVID-19",74.6363879181444
50,90,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-329.011067468673
75,90,90,"Tight Suppression",0,2.5,"Y1","COVID-19",179.153260355815
90,90,90,"Tight Suppression",0,2.5,"Y1","COVID-19",-146.146530704573
50,50,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",-429.597067134455
75,50,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",-598.558312468231
90,50,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",132.610690360889
50,75,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",169.792378135025
75,75,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",134.296667808667
90,75,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",-7.63737452216451
50,90,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",-462.790088914335
75,90,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",-534.903166769072
90,90,60,"Moderate Elimination",0,2.5,"Y1","COVID-19",-508.908590488136
50,50,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",33.1921161152422
75,50,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",-794.16715465486
90,50,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",-172.647998854518
50,75,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",-617.092483397573
75,75,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",-491.669369116426
90,75,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",113.72279333882
50,90,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",-6.64756745100026
75,90,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",-58.9346012100578
90,90,75,"Moderate Elimination",0,2.5,"Y1","COVID-19",62.9374527372419
50,50,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-197.590473294258
75,50,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-262.945866165683
90,50,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-490.059610409662
50,75,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-117.445316817611
75,75,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-146.175495069474
90,75,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",122.885357402265
50,90,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-740.725577995181
75,90,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-789.664461929351
90,90,90,"Moderate Elimination",0,2.5,"Y1","COVID-19",-170.020049158484
50,50,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",37.908502202481
75,50,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-694.708407111466
90,50,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-116.728088539094
50,75,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-588.154135458171
75,75,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-685.289015248418
90,75,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-141.542731504887
50,90,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-24.8258306644857
75,90,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-177.313321921974
90,90,60,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-779.425347177312
50,50,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-389.576226659119
75,50,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-607.485148776323
90,50,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",161.128216702491
50,75,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-179.625007277355
75,75,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-726.23672587797
90,75,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-451.513317599893
50,90,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-288.727355841547
75,90,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",67.9198466707021
90,90,75,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-190.12644183822
50,50,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-431.076576886699
75,50,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",2.17287526465948
90,50,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-446.823735209182
50,75,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-627.282936545089
75,75,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-691.153638949618
90,75,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-291.840634960681
50,90,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-293.910400429741
75,90,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-719.585722498596
90,90,90,"Aggressive Elimination",0,2.5,"Y1","COVID-19",-47.1479196101428
50,50,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-700.82217915915
75,50,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-696.011187229306
90,50,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-104.282215423882
50,75,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-608.038159040734
75,75,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-486.004394199699
90,75,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-501.689077774063
50,90,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-676.767333364114
75,90,60,"Loose Suppression",1,2.5,"Y1","COVID-19",125.254934001714
90,90,60,"Loose Suppression",1,2.5,"Y1","COVID-19",-218.292210670188
50,50,75,"Loose Suppression",1,2.5,"Y1","COVID-19",148.097755666822
75,50,75,"Loose Suppression",1,2.5,"Y1","COVID-19",83.4707622881978
90,50,75,"Loose Suppression",1,2.5,"Y1","COVID-19",-727.942727925256
50,75,75,"Loose Suppression",1,2.5,"Y1","COVID-19",35.8493603300303
75,75,75,"Loose Suppression",1,2.5,"Y1","COVID-19",-284.281935496256
90,75,75,"Loose Suppression",1,2.5,"Y1","COVID-19",-136.949479300529
50,90,75,"Loose Suppression",1,2.5,"Y1","COVID-19",-431.454810267314
75,90,75,"Loose Suppression",1,2.5,"Y1","COVID-19",138.22054262273
90,90,75,"Loose Suppression",1,2.5,"Y1","COVID-19",-791.125056287274
50,50,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-188.33261677064
75,50,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-533.660525642335
90,50,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-299.582277378067
50,75,90,"Loose Suppression",1,2.5,"Y1","COVID-19",81.0857287608087
75,75,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-427.481749746949
90,75,90,"Loose Suppression",1,2.5,"Y1","COVID-19",166.991535387933
50,90,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-157.219898840413
75,90,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-136.328326258808
90,90,90,"Loose Suppression",1,2.5,"Y1","COVID-19",-729.323532851413
50,50,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-582.421957468614
75,50,60,"Tight Suppression",1,2.5,"Y1","COVID-19",41.2893824279308
90,50,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-464.625335717574
50,75,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-43.8822588883341
75,75,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-549.202540377155
90,75,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-221.538366470486
50,90,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-317.172035761178
75,90,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-245.526864845306
90,90,60,"Tight Suppression",1,2.5,"Y1","COVID-19",-1.97310461662714
50,50,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-263.972499594092
75,50,75,"Tight Suppression",1,2.5,"Y1","COVID-19",142.809951025993
90,50,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-429.155826754868
50,75,75,"Tight Suppression",1,2.5,"Y1","COVID-19",137.841851264238
75,75,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-216.347043821588
90,75,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-174.099458800629
50,90,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-720.311648631468
75,90,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-658.853592770174
90,90,75,"Tight Suppression",1,2.5,"Y1","COVID-19",-240.25064795278
50,50,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-353.476383909583
75,50,90,"Tight Suppression",1,2.5,"Y1","COVID-19",94.521492999047
90,50,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-590.095067583025
50,75,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-127.636242611334
75,75,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-460.196548327804
90,75,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-625.054903747514
50,90,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-671.545479167253
75,90,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-560.636335704476
90,90,90,"Tight Suppression",1,2.5,"Y1","COVID-19",-41.3072895724327
50,50,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",32.8950256109237
75,50,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",-764.397543109953
90,50,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",-481.935909669846
50,75,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",85.0039173848927
75,75,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",-315.754265710712
90,75,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",-385.088675376028
50,90,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",-586.746270488948
75,90,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",167.473037540913
90,90,60,"Moderate Elimination",1,2.5,"Y1","COVID-19",179.123510420322
50,50,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-352.610750542954
75,50,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-220.002213912085
90,50,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-100.351827638224
50,75,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-358.077991008759
75,75,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-613.021799083799
90,75,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-391.347231529653
50,90,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-439.89453134127
75,90,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",94.1576101351529
90,90,75,"Moderate Elimination",1,2.5,"Y1","COVID-19",-743.009877344593
50,50,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-66.6894104331732
75,50,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-156.534102698788
90,50,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-174.884991440922
50,75,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-462.915793946013
75,75,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-226.450239727274
90,75,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-556.06911862269
50,90,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-661.069864593446
75,90,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",50.9240671992302
90,90,90,"Moderate Elimination",1,2.5,"Y1","COVID-19",-333.104566158727
50,50,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-47.2512789536268
75,50,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-86.2479796167463
90,50,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",86.0698028001934
50,75,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-677.065369859338
75,75,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-684.835723089054
90,75,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-26.8061740323902
50,90,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",103.462210902944
75,90,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-358.695063460618
90,90,60,"Aggressive Elimination",1,2.5,"Y1","COVID-19",56.1768031213432
50,50,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-628.41638661921
75,50,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-10.6389973778278
90,50,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",86.2937323283404
50,75,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-595.113322557881
75,75,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-669.282970903441
90,75,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-17.8308940492571
50,90,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",12.2559045441448
75,90,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-462.768438458443
90,90,75,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-705.652253655717
50,50,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-205.211891513318
75,50,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-370.756234228611
90,50,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-715.562961017713
50,75,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",100.889547774568
75,75,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-84.8077616654337
90,75,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-636.186639266089
50,90,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-652.992482949048
75,90,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-505.534483538941
90,90,90,"Aggressive Elimination",1,2.5,"Y1","COVID-19",-594.629419920966
50,50,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-55.5934176780284
75,50,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-23.9598447922618
90,50,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-246.313787950203
50,75,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-538.210539799184
75,75,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-205.539571773261
90,75,60,"Loose Suppression",0,3.125,"Y1","COVID-19",199.104722170159
50,90,60,"Loose Suppression",0,3.125,"Y1","COVID-19",135.145263792947
75,90,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-614.185600029305
90,90,60,"Loose Suppression",0,3.125,"Y1","COVID-19",-203.214344987646
50,50,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-178.534576157108
75,50,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-239.834359567612
90,50,75,"Loose Suppression",0,3.125,"Y1","COVID-19",110.55493010208
50,75,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-105.933250114322
75,75,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-314.231154695153
90,75,75,"Loose Suppression",0,3.125,"Y1","COVID-19",41.3834979292005
50,90,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-418.101178202778
75,90,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-206.25879727304
90,90,75,"Loose Suppression",0,3.125,"Y1","COVID-19",-92.1688668429852
50,50,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-367.662040004507
75,50,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-323.018799955025
90,50,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-614.905226929113
50,75,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-412.567110452801
75,75,90,"Loose Suppression",0,3.125,"Y1","COVID-19",16.0611551720649
90,75,90,"Loose Suppression",0,3.125,"Y1","COVID-19",175.455275736749
50,90,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-204.519176110625
75,90,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-281.57323547639
90,90,90,"Loose Suppression",0,3.125,"Y1","COVID-19",-576.638567680493
50,50,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-222.518365317956
75,50,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-146.191131509841
90,50,60,"Tight Suppression",0,3.125,"Y1","COVID-19",3.78971016034479
50,75,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-744.93156275712
75,75,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-709.381814301014
90,75,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-612.435125932097
50,90,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-525.689964136109
75,90,60,"Tight Suppression",0,3.125,"Y1","COVID-19",-59.9734326358885
90,90,60,"Tight Suppression",0,3.125,"Y1","COVID-19",102.742526028305
50,50,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-747.72207387723
75,50,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-390.42476513423
90,50,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-166.63357494399
50,75,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-213.848346564919
75,75,75,"Tight Suppression",0,3.125,"Y1","COVID-19",136.129510402679
90,75,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-201.70282474719
50,90,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-61.2517315428704
75,90,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-611.3555284217
90,90,75,"Tight Suppression",0,3.125,"Y1","COVID-19",-742.354959435761
50,50,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-367.19296425581
75,50,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-260.085553117096
90,50,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-495.019801380113
50,75,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-288.825630862266
75,75,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-511.024321615696
90,75,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-557.903050864115
50,90,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-265.759045211598
75,90,90,"Tight Suppression",0,3.125,"Y1","COVID-19",-416.446148371324
90,90,90,"Tight Suppression",0,3.125,"Y1","COVID-19",175.348761305213
50,50,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",60.0152635481208
75,50,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-368.906030617654
90,50,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-321.222481038421
50,75,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-706.775783514604
75,75,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-0.625416357070252
90,75,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-342.069141287357
50,90,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-602.147343521938
75,90,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-497.218535002321
90,90,60,"Moderate Elimination",0,3.125,"Y1","COVID-19",-604.675178136677
50,50,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",-612.326454790309
75,50,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",17.2792443074286
90,50,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",122.765728319064
50,75,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",-454.135236283764
75,75,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",-493.365070736036
90,75,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",-548.104123864323
50,90,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",25.3117715939879
75,90,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",-607.248168392107
90,90,75,"Moderate Elimination",0,3.125,"Y1","COVID-19",-568.041383009404
50,50,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",191.284740855917
75,50,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",-33.9022823143751
90,50,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",-796.058751596138
50,75,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",-32.3774383403361
75,75,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",-362.155582010746
90,75,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",183.47669490613
50,90,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",-648.512434167787
75,90,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",-400.681325420737
90,90,90,"Moderate Elimination",0,3.125,"Y1","COVID-19",140.856870729476
50,50,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-428.82866547443
75,50,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",31.7036614753305
90,50,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-73.1861025094986
50,75,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-646.790957264602
75,75,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",196.593709336594
90,75,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-207.231912016869
50,90,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-44.1540064755828
75,90,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",32.729923306033
90,90,60,"Aggressive Elimination",0,3.125,"Y1","COVID-19",108.678045496345
50,50,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-393.965373467654
75,50,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-681.486877100542
90,50,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-221.078169019893
50,75,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-564.918070752174
75,75,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-743.65342403762
90,75,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-502.498959843069
50,90,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-70.0202460400761
75,90,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-401.160003105179
90,90,75,"Aggressive Elimination",0,3.125,"Y1","COVID-19",53.4626637119799
50,50,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",48.5267932992428
75,50,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-717.101924307644
90,50,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-752.250959118828
50,75,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-727.341668633744
75,75,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-506.844625761733
90,75,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-117.45442817919
50,90,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-445.271397195756
75,90,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-701.275112293661
90,90,90,"Aggressive Elimination",0,3.125,"Y1","COVID-19",-617.024853313342
50,50,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-388.497996330261
75,50,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-382.860116614029
90,50,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-625.252190930769
50,75,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-721.380058396608
75,75,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-99.4705364108086
90,75,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-359.309139382094
50,90,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-547.549315914512
75,90,60,"Loose Suppression",1,3.125,"Y1","COVID-19",-46.0762432310731
90,90,60,"Loose Suppression",1,3.125,"Y1","COVID-19",49.1727598011493
50,50,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-328.832948766649
75,50,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-103.541223052889
90,50,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-398.392886342481
50,75,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-457.934512710199
75,75,75,"Loose Suppression",1,3.125,"Y1","COVID-19",11.3772794604301
90,75,75,"Loose Suppression",1,3.125,"Y1","COVID-19",143.936231313273
50,90,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-587.49798075296
75,90,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-297.255943948403
90,90,75,"Loose Suppression",1,3.125,"Y1","COVID-19",-704.431445291266
